,End_event_date,Event_name,reg Rtg Before/After,Quick Rtg Before/After,Bliz Rtg Before/After
1,2024-05-11,2023-2024 SUMMIT SCHOOL OF CHESS TO (CO)1: OPEN,1250 =>1272,1218 =>1240,
2,2024-03-16,2023-2024 SUMMIT SCHOOL OF CHESS TO (CO)1: OPEN,1263 =>1250,1244 =>1218,
3,2024-02-04,2024 SCHOLASTIC STATE CHAMPIONSHIPS (CO)2: K-8,1343 =>1263,,
4,2024-01-13,SUMMIT SCHOOL SERIES #5 (CO)4: U1400,1392 =>1343,1287 =>1244,
5,2023-12-02,SUMMIT SCHOOL OF CHESS #4 (CO)5: OPEN,1260 =>1392,1172 =>1287,
6,2023-11-04,SUMMIT SCHOOL OF CHESS #3 (CO)4: OPEN,1197 =>1260,1152 =>1172,
7,2023-10-07,SUMMIT SCHOOL OF CHESS OCT TOURNEY (CO)1: U1400,1140 =>1197,1087 =>1152,
8,2023-09-23,SUMMIT SCHOOL OF CHESS #1 (CO)2: U1400,1203 =>1140,1147 =>1087,
9,2023-07-22,SUMMIT SUMMER SCHOLASTIC (CO)4: U1400,1096 =>1203,954 =>1147,
10,2023-05-13,SUMMIT SCHOOL SERIES #9 (CO)5: U1400,1135 =>1096,977 =>954,
11,2023-04-08,SSC #8 (CO)5: U1400,1136 =>1135,953 =>977,
12,2023-03-11,2022-2023 SSC#7 (CO)5: U1400,1158 =>1136,929 =>953,
13,2023-02-12,2023 SCHOLASTIC STATE CHAMPIONSHIPS (CO)2: K-8,942 =>1158,,
14,2023-02-04,SSC #6 (CO)4: U1000,956 =>942,948 =>929,
15,2023-01-14,SSC #5 (CO)4: U1000,922 =>956,897 =>948,
16,2022-12-03,SSC #4 (CO)3: U1000,874 =>922,850 =>897,
17,2022-11-05,SSC #3 (CO)4: U1000,863 =>874,839 =>850,
18,2022-10-01,SSC #2 (CO)4: U1400,892 =>863,883 =>839,
19,2022-09-17,SSC #1 (CO)2: 7-12TH,780 =>892,767 =>883,
20,2022-04-16,2021-2022 SUMMIT SCHOOL OF CHESS SE (CO)5: 4-6 (U800),758 =>780,750 (P25) =>767,
21,2022-02-13,2022 SCHOLASTIC STATE CHAMPIONSHIPS (CO)2: K-8,750 (P25) =>758,,
22,2022-01-22,2021-2022 SUMMIT SCHOOL OF CHESS SE (CO)5: 4-6 (U800),573 (P20) =>750 (P25),569 (P20) =>750 (P25),
23,2021-12-11,SSC #4 HOLIDAY FUN (CO)2: 4TH-6TH,494 (P15) =>573 (P20),488 (P15) =>569 (P20),
24,2021-11-20,2021-2022 SSC #3 - HAPPY THANKSGIVI (CO)2: 4TH-6TH,514 (P10) =>494 (P15),509 (P10) =>488 (P15),
25,2021-10-23,2021-2022 SSC #2 HALLOWEEN BASH!! (CO)2: 4-6,460 (P5) =>514 (P10),460 (P5) =>509 (P10),
26,2021-09-25,2021-2022 SUMMIT SCHOOL OF CHESS TO (CO)2: 4-6,(Unrated) =>460 (P5),(Unrated) =>460 (P5),
