,End_event_date,Event_name,reg Rtg Before/After,Quick Rtg Before/After,Bliz Rtg Before/After
2,2025-03-01,11TH QUEEN CITY TORNADO (NH)1: OPEN,2192** =>2200,1897** =>1918,
3,2025-02-23,2025 MUSIC CITY OPEN (TN)2: OPEN (MERGED),2188 =>2192,,
4,2025-02-17,2025 WORLD AMATEUR TEAM TOURNAMENT (NJ)1: WORLD AMATEUR TEAM 2025,2166 =>2188,,
5,2025-02-09,MARSHALL FIDE PREMIER OPEN & U2000 (NY)1: PREMIER OPEN,2162 =>2166,,
6,2025-01-26,2025 CONNECTICUT CLASSICAL (CT)1: OPEN,2151 =>2162,,
7,2025-01-20,57TH ANNUAL LIBERTY BELL OPEN! (PA)1: MAJOR SECTION!,2146 =>2151,,
8,2025-01-05,13TH ANNUAL BOSTON CHESS CONGRESS (MA)1: PREMIER SECTION!,2150 =>2146,,
9,2024-12-29,49TH ANNUAL EASTERN OPEN! (VA)1: PREMIER SECTION!,2122 =>2150,,
10,2024-12-23,2024 NORTH AMERICAN YOUTH (VA)5: U14-OPEN,2104 =>2122,,
11,2024-12-21,2024 NORTH AMERICAN YOUTH OPENBLITZ (VA)1: OPEN,,,2021 =>1981
12,2024-12-19,2024 NORTH AMERICAN YOUTH BLITZ (VA)1: U18-OPEN,,,2056 =>2021
13,2024-12-07,DECEMBER QUADS (MA)1: QUAD 1,2100 =>2104,,
14,2024-12-06,BIG MONEY BLITZ (MA)1: OPEN,,,2035 =>2056
15,2024-12-01,2024 U.S. MASTERS CHESS CHAMPIONSHIP (NC)1: 2024 US MASTERS,2123 =>2100,,
16,2024-11-30,2024 NORTH CAROLINA OPEN (NC)11: BLITZ CHAMPIONSHIP,,,2002 =>2035
17,2024-11-23,1ST TANA OSCA STONEHILL OPEN (MA)1: OPEN CHAMPIONSHIP,2097 =>2123,1834 =>1897,
18,2024-11-11,FALL FESTIVAL (MA)1: OPEN,2098 =>2097,,
