,End_event_date,Event_name,reg Rtg Before/After,Quick Rtg Before/After,Bliz Rtg Before/After
2,2024-08-27,AUGUST SWISS 90 (CO)2: OPEN,1717 =>1717,,
3,2024-08-11,PIKES PEAK OPEN (CO)1: OPEN,1732 =>1717,,
4,2024-07-30,JULY SWISS 90 (CO)1: OPEN,1651 =>1732,,
5,2024-07-22,IHOP QUICK CHESS MONDAY 20240722 (CO)3: QUAD #3,,1770 =>1783,
6,2024-04-28,2024 COLORADO CLASS CHAMPIONSHIPS (CO)6: EXTRA GAMES,1651 =>1651,,
7,2024-04-28,2024 COLORADO CLASS CHAMPIONSHIPS (CO)3: CLASS B (1600 - 1799),1615 =>1651,,
8,2024-04-01,IHOP QUICK CHESS MONDAY 20240401 (CO)1: QUAD #1,,1782 =>1770,
9,2024-01-26,FRIDAY QUAD DUALS BY NORTH GATE CHE (CO)3: QUAD 2,1600 =>1615,1794 =>1782,
10,2023-11-20,IHOPQUICKCHESSMONDAY20231120 (CO)2: QUAD#2,,1736 =>1794,
11,2023-11-11,SAC'N SWISS NOV 11 (CO)1: OPEN,1579 =>1600,1756 =>1736,
12,2023-11-04,SUMMIT SCHOOL OF CHESS #3 (CO)4: OPEN,1568 =>1579,1789 =>1756,
13,2023-10-15,DCC FALL CLASSIC 2023 (CO)3: U1600,1487 =>1568,,
14,2023-09-30,IHOP SEPTEMBER QUICK CHESS 2023 (CO)1: SECTION1,,1752 =>1789,
15,2023-09-03,2023 COLORADO OPEN (CO)5: EXTRA GAMES,1473 =>1487,,
16,2023-09-03,2023 COLORADO OPEN (CO)3: U1600,1419 (P22) =>1473,,
17,2023-08-07,IHOP QUICK CHESS MONDAY 20230807 (CO)1: QUAD #1,,1712 =>1752,
18,2023-07-17,HCC JULY ACTION QUADS (CT)3: QUAD 3,1367 (P19) =>1419 (P22),1736 =>1712,
19,2023-06-26,IHOP QUICK CHESS MONDAY 20230626 (CO)2: QUAD #2,,1679 =>1736,
20,2023-06-19,IHOP QUICK CHESS MONDAY 20230619 (CO)1: QUAD #1,,1682 =>1679,
21,2023-06-12,IHOPQUICKCHESSMONDAY20230612 (CO)2: QUAD #2,,1620 =>1682,
22,2023-06-11,2023 COLORADO CLASS CHAMPIONSHIPS (CO)6: CLASS E/UNRATED (1199-),1316 (P15) =>1367 (P19),,
23,2023-06-04,2023 COLORADO STATE SENIOR CHAMPION (CO)2: UNDER AGE 50,1137 (P11) =>1316 (P15),,
24,2023-06-02,2023 COLORADO QUICK CHAMPIONSHIP (CO)1: OPEN,,1625 =>1620,
25,2023-05-29,IHOP QUICK CHESS MONDAY 20230529 (CO)2: QUAD #2,,1612 =>1625,
26,2023-05-15,IHOP QUICK CHESS MONDAY 20230515 (CO)2: QUAD #2,,1605 =>1612,
27,2023-04-24,IHOP QUICK CHESS MONDAY 20230424 (CO)2: QUAD #2,,1595 =>1605,
28,2023-04-03,IHOP QUICK CHESS MONDAY 20230403 (CO)2: QUAD #2,,1565 =>1595,
29,2023-03-13,IHOP QUICK CHESS MONDAY 20230313 (CO)3: QUAD #3,,1567 =>1565,
30,2023-03-06,IHOP QUICK CHESS MONDAY 20230306 (CO)4: QUAD #4,,1554 =>1567,
31,2023-02-27,IHOP QUICK CHESS MONDAY 20230227 (CO)4: QUAD #4,,1583 =>1554,
32,2023-02-26,IHOP QUICK CHESS FEBRUARY 2023 (CO)1: OPEN,,1630 =>1583,
33,2023-02-20,IHOP QUICK CHESS MONDAY 20230220 (CO)2: QUAD #2,,1627 =>1630,
34,2023-02-13,IHOP QUICK CHESS MONDAY 20230213 (CO)2: QUAD #2,,1600 =>1627,
35,2023-01-30,IHOP QUICK CHESS MONDAY 2023013 (CO)3: QUAD #3,,1583 =>1600,
36,2023-01-16,IHOP QUICK CHESS MONDAY 20230116 (CO)3: QUAD #3,,1571 =>1583,
37,2023-01-09,IHOP QUICK CHESS MONDAY 20230109 (CO)4: QUAD #4,,1577 =>1571,
38,2023-01-02,IHOP QUICK CHESS MONDAY 20230102 (CO)3: QUAD #3,,1598 =>1577,
39,2022-12-18,IHOP QUICK CHESS DEC 2022 (CO)1: OPEN,,1593 =>1598,
40,2022-12-04,2022 WINTER SPRINGS OPEN (CO)3: U1400,1034 (P7) =>1137 (P11),,
41,2022-11-28,IHOP QUICK CHESS MONDAY #26 (CO)2: QUAD #2,,1542 =>1593,
42,2022-11-14,IHOP QUICK CHESS MONDAY #24 (CO)3: QUAD #3,,1477 =>1542,
43,2022-10-31,IHOP QUICK CHESS MONDAY #22 (CO)2: QUAD #2,,1472 =>1477,
44,2022-10-24,IHOP QUICK MONDAY #21 (CO)2: QUAD #2,,1479 =>1472,
45,2022-10-23,IHOP QUICK CHESS OCT 2022 (CO)1: OPEN QUICK,,1496 =>1479,
46,2022-10-17,IHOP QUICK CHESS MONDAY #20 (CO)2: QUAD #2,,1432 =>1496,
47,2022-10-10,IHOP QUICK CHESS MONDAY #19 (CO)4: QUAD #4,,1396 =>1432,
48,2022-10-03,IHOP QUICK CHESS MONDAY #18 (CO)3: QUAD #3,,1448 =>1396,
49,2022-09-26,IHOP QUICK MONDAY #17 (CO)3: QUAD #3,,1322 =>1448,
50,2022-09-12,IHOP QUICK CHESS MONDAY #15 (CO)4: QUAD #4,,1337 =>1322,
51,2022-09-06,IHOP QUICK CHESS MONDAY #14 (CO)3: QUAD #3,,1340 =>1337,
