,End_event_date,Event_name,reg Rtg Before/After,Quick Rtg Before/After,Bliz Rtg Before/After
2,2025-02-22,PLAY UP CHALLENGE (MA)1: OPEN,1852 =>1826,1682 =>1641,
3,2025-02-01,FEBRUARY QUADS (MA)4: QUAD 4,1833 =>1852,,
4,2025-01-26,BLACK DIAMOND PREMIER (MA)2: U2000,1779 =>1833,1646 =>1682,
5,2025-01-18,BIG MONEY SWISS (MA)1: OPEN,1738 =>1779,1598 =>1646,
6,2025-01-05,13TH ANNUAL BOSTON CHESS CONGRESS (MA)2: UNDER 2100 SECTION,1777 =>1738,,
7,2025-01-04,11TH BOSTON CONGRESS BLITZ! (MA)1: PRIZES RAISED 90%!,,,1665 =>1626
8,2025-01-01,HERB HEALY (MA)1: RATED,1788 =>1777,1612 =>1598,
9,2024-12-15,HARRY NELSON PILLSBURY MEMORIAL (MA)2: UNDER 2200,1775 =>1788,1596 =>1612,
10,2024-12-01,5TH_BOSTON_ELITE_THANKSGIVING_FIDE_ (MA)2: U2000,1775 =>1775,,
11,2024-11-17,$15 OPEN (MA)1: OPEN,1809 =>1775,1637 =>1596,
12,2024-11-03,2ND SPIEGEL CUP QUALIFIER (MA)1: GRADES 6-8,1769 =>1809,1590 =>1637,
13,2024-10-26,HALLOWEEN SWISS (MA)1: OPEN,1775 =>1769,1596 =>1590,
14,2024-10-20,13TH ANNUAL HARTFORD OPEN! (CT)2: UNDER 2100 SECTION,1742 =>1775,,
15,2024-10-19,9TH ANNUAL HARTFORD OPEN BLITZ! (CT)1: PRIZES RAISED 15%,,,1639 =>1665
16,2024-10-13,89TH GREATER BOSTON OPEN (MA)3: U2000,1726 =>1742,1585 =>1596,
17,2024-09-27,FRIDAY NIGHT BBQ & BLITZ (MA)1: OPEN,,,1682 =>1639
18,2024-09-22,1ST SPIEGEL CUP QUALIFIER (MA)1: GRADES 6-8,1757 =>1726,1632 =>1585,
19,2024-09-13,BIG MONEY BLITZ (MA)1: OPEN,,,1547 =>1682
20,2024-09-02,83RD NEW ENGLAND OPEN (MA)2: UNDER 2000,1768 =>1757,,
21,2024-09-01,NEW ENGLAND BLITZ CHAMPIONSHIP (MA)1: BLITZ,,,1586 =>1547
22,2024-08-24,AUGUST ATTACK (MA)1: OPEN,1698 =>1768,1595 =>1632,
23,2024-08-18,54TH ANNUAL CONTINENTAL OPEN (MA)2: UNDER 2100,1740 =>1698,,
24,2024-07-20,BCF BIG MONEY SWISS (MA)1: OPEN,1745 =>1740,1615 =>1595,
25,2024-07-07,52ND ANNUAL WORLD OPEN (PA)3: UNDER 2000,1768 =>1745,,
26,2024-06-22,BCF BIG MONEY SWISS (MA)1: OPEN,1763 =>1768,1616 =>1615,
27,2024-06-09,32ND ANNUAL EASTERN CLASS (CT)3: CLASS A,1749 =>1763,,
28,2024-06-08,10TH EASTERN CLASS BLITZ! (CT)1: REPORT AT 11,,,1592 =>1586
29,2024-05-27,92ND MASSACHUSETTS OPEN (MA)2: UNDER 2100,1777 =>1749,,
30,2024-05-26,MASSACHUSETTS BLITZ CHAMPIONSHIP (MA)1: BLITZ,,,1603 =>1592
31,2024-05-19,BARRY S. SPIEGEL CUP (MA)2: MIDDLE SCHOOL,1790 =>1777,,
32,2024-05-11,MAY $15 OPEN (MA)2: TOP,1752 =>1790,1563 =>1616,
33,2024-04-28,32ND MASSACHUSETTS G-60 CHAMPIONSHI (MA)2: U2200,1795 =>1752,1617 =>1563,
34,2024-04-26,FRIDAY NIGHT BBQ & BLITZ (MA)1: OPEN,,,1613 =>1603
35,2024-04-12,BIG MONEY BLITZ (MA)1: OPEN,,,1487 =>1613
36,2024-04-07,1ST PENGUIN FESTIVAL (MA)2: MEGALLANIC (UNDER 1925),1784 =>1795,,
37,2024-03-31,16TH ANNUAL OPEN AT FOXWOODS (CT)3: UNDER 2000,1788 =>1784,,
38,2024-03-30,15TH ANNUAL BLITZ AT FOXWOODS (CT)1: OPEN,,,1487 =>1487
39,2024-03-17,HURVITZ CUP (MA)2: GRADES K-8,1795 =>1788,1630 =>1617,
40,2024-03-08,BIG MONEY BLITZ (MA)1: OPEN,,,1455 =>1487
41,2024-03-03,3RD SPIEGEL CUP QUALIFIER (MA)1: GRADES 6-8,1716 =>1795,1531 =>1630,
42,2024-02-17,NASHUA GRAND PRIX TORNADO (NH)1: PREMIER (1600+),1629 =>1716,1435 =>1531,
43,2024-01-21,GUS GOSSELIN GRADE CHAMPIONSHIP (MA)2: GRADES 6-8,1648 =>1629,1449 =>1435,
44,2024-01-13,$15 OPEN (MA)1: OPEN,1652 =>1648,1454 =>1449,
45,2024-01-12,BIG MONEY BLITZ (MA)1: OPEN,,,1447 =>1455
46,2024-01-07,12TH ANNUAL BOSTON CHESS CONGRESS! (MA)2: UNDER 2100 SECTION,1663 =>1652,,
47,2024-01-06,10TH ANNUAL BOSTON CONGRESS BLITZ! (MA)1: PRIZES RAISED 95%!,,,1442 =>1447
48,2023-12-10,HARRY NELSON PILLSBURY MEMORIAL (MA)2: U2050,1545 =>1663,1280 =>1454,
49,2023-11-26,4TH BOSTON ELITE THANKSGIVING FIDE (MA)2: U2000,1550 =>1545,,
50,2023-11-19,2ND SPIEGEL CUP QUALIFIER (MA)1: GRADES 6-8,1550 =>1550,1280 =>1280,
51,2023-11-04,NOVEMBER 4 QUADS (MA)6: QUAD 6,1577 =>1550,,
