,End_event_date,Event_name,reg Rtg Before/After,Quick Rtg Before/After,Bliz Rtg Before/After
1,2025-02-17,ARIZONA PRESIDENTS DAY CLASSIC (AZ)1: PREMIER (1800 AND UP),1845 =>1869,,
2,2025-01-19,DCC TRIBUTE TO MLK 2025 (CO)1: PREMIER (+1600 USCF),1785 =>1845,,
3,2024-12-17,DCC DECEMBER TUESDAYS 2024 (CO)1: PREMIER (1700+ OR UNRATED),1760 =>1785,,
4,2024-10-13,DCC FALL CLASSIC 2024 NCW (CO)1: PREMIER (+1600 USCF),1749 =>1760,,
5,2024-09-01,2024 COLORADO OPEN (CO)1: CHAMPIONSHIP,1590 =>1749,,
6,2024-08-27,DCC AUGUST TUESDAYS 2024 (CO)2: U1900,1584 =>1590,,
7,2024-07-30,DCC JULY TUESDAYS 2024 (CO)2: U1900,1585 =>1584,,
8,2024-05-28,DCC MAY TUESDAYS 2024 (CO)2: U1900,1464 =>1585,,
9,2024-03-26,DCC MARCH TUESDAYS 2024 (CO)2: U1900,1413 =>1464,,
10,2024-02-04,2024 SCHOLASTIC STATE CHAMPIONSHIPS (CO)3: K-5,1412 =>1413,,
11,2024-01-30,DCC JANUARY TUESDAYS 2024 (CO)2: U1900,1427 =>1412,,
12,2024-01-06,KINGS OF CHESS JANUARY 2024 (CO)4: PREMIER DIVISION,1418 =>1427,1308 =>1293,
13,2023-11-04,SUMMIT SCHOOL OF CHESS #3 (CO)4: OPEN,1419 =>1418,1312 =>1308,
14,2023-09-23,SUMMIT SCHOOL OF CHESS #1 (CO)3: OPEN,1199 =>1419,1085 =>1312,
15,2023-09-01,2023 COLORADO STATE BLITZ CHAMPIONS (CO)1: OPEN,,,(Unrated) =>1184 (P16)
16,2023-05-13,SUMMIT SCHOOL OF CHESS #9 (CO)1: OPEN,1182 =>1199,1075 =>1085,
17,2023-04-08,SSC #8 (CO)5: U1400,1201 =>1182,1094 =>1075,
18,2023-03-11,DSCS #7 (CO)1: K-12 RATED,1185 =>1201,1082 =>1094,
19,2023-02-12,2023 SCHOLASTIC STATE CHAMPIONSHIPS (CO)3: K-5,1161 =>1185,,
20,2023-02-04,SSC #6 (CO)5: U1400,1196 =>1161,1124 =>1082,
21,2023-01-14,SSC #5 (CO)5: U1400,1182 =>1196,1113 =>1124,
22,2022-11-12,DSCS #3 (CO)1: K-12 RATED,1138 (P25) =>1182,1059 (P25) =>1113,
23,2022-11-05,SSC #3 (CO)5: U1400,1049 (P20) =>1138 (P25),1021 (P20) =>1059 (P25),
24,2022-10-15,DSCS #2 (CO)1: K-12 RATED,1033 (P15) =>1049 (P20),1008 (P15) =>1021 (P20),
25,2022-09-24,DSCS #1 (CO)1: K-12 RATED,1064 (P10) =>1033 (P15),1041 (P10) =>1008 (P15),
26,2022-09-17,SSC #1 (CO)3: U1400,1147 (P5) =>1064 (P10),1148 (P5) =>1041 (P10),
27,2022-05-21,SUMMIT SCHOOL OF CHESS #9 (CO)1: K-3,(Unrated) =>1147 (P5),(Unrated) =>1148 (P5),
