,End_event_date,Event_name,reg Rtg Before/After,Quick Rtg Before/After,Bliz Rtg Before/After
2,2025-03-02,3RD SPIEGEL CUP QUALIFIER (MA)1: GRADES 6-8,1504** =>1528,1323** =>1349,
3,2025-02-27,DMVCHESS.COM FEBRUARY CLIMB THE RATING LADDER (VA)4: THURSDAY CLASS,ONL:1359** =>1277,,
4,2025-02-19,DMVCHESS.COM FEBRUARY ACTION SWISS (VA)1: OPEN,ONL:1369 =>1359,,
5,2024-11-23,1ST TANA OSCA STONEHILL OPEN (MA)2: CHALLENGER U1800,1521 =>1504,1337 =>1323,
6,2024-11-02,NOVEMBER QUADS (MA)6: QUAD 6,1492 =>1521,,
7,2024-09-29,BIG MONEY SWISS (MA)2: U1900,1469 =>1492,1317 =>1337,
8,2024-09-14,SEPTEMBER $15 OPEN (MA)2: UNDER,1502 =>1469,1348 =>1317,
9,2024-08-10,TORNADO #142 (MA)1: OPEN,1513 =>1502,1364 =>1348,
10,2024-07-27,SUMMER OPEN (MA)1: OPEN,1542 =>1513,1389 =>1364,
11,2024-07-06,JULY QUADS (REVISED) (MA)4: QUAD 4,1528 =>1542,,
12,2024-07-05,DMVCHESS.COM CAMP 2024.07.01-2024.07.05 (VA)3: WEDNESDAY ROUND ROBIN,ONL:1384 =>1369,,
13,2024-07-05,DMVCHESS.COM CAMP 2024.07.01-2024.07.05 (VA)2: TUESDAY ROUND ROBIN,ONL:1380 =>1384,,
14,2024-07-05,DMVCHESS.COM CAMP 2024.07.01-2024.07.05 (VA)1: MONDAY SWISS,ONL:1376 =>1380,,
15,2024-06-28,DMVCHESS.COM JUNE CLIMB THE RATING LADDER (VA)6: FRIDAY (1100-1600) CLASS,ONL:1407 =>1376,,
16,2024-06-08,JUNE QUADS (MA)3: SMALL SWISS,1564 =>1528,,
17,2024-05-31,DMVCHESS.COM MAY CLIMB THE RATING LADDER (VA)3: FRIDAY (1100-1600) CLASS,ONL:1402 =>1407,,
18,2024-05-04,BCC MAY QUADS (MA)2: QUAD 2,1578 =>1564,,
19,2024-04-28,32ND MASSACHUSETTS G-60 CHAMPIONSHI (MA)3: U2000,1535 =>1578,1312 =>1389,
20,2024-04-26,DMVCHESS.COM APRIL CLIMB THE RATING LADDER (VA)5: FRIDAY (1100-1600) CLASS,ONL:1375 =>1402,,
21,2024-04-14,4TH SPIEGEL CUP QUALIFIER (MA)2: GRADES K-5,1528 =>1535,1302 =>1312,
22,2024-04-06,BCC APRIL QUADS (MA)2: QUAD 2,1543 =>1528,,
23,2024-03-29,DMVCHESS.COM MARCH CLIMB THE RATING LADDER (VA)2: FRIDAY (1100-1600) CLASS,ONL:1317 =>1375,,
24,2024-03-03,3RD SPIEGEL CUP QUALIFIER (MA)2: GRADES K-5,1531 =>1543,1279 =>1302,
25,2024-02-23,DMVCHESS.COM FEBRUARY CLIMB THE RATING LADDER (VA)1: FRIDAY (1100-1600) CLASS,ONL:1310 =>1317,,
26,2024-02-18,BCC FEBRUARY SCHOLASTICS (MA)4: OVER 1000,1487 =>1531,1158 =>1279,
27,2024-02-04,SUNDAY MORNING ACTION (MA)2: U1800,1531 =>1487,1185 =>1158,
28,2024-01-26,DMVCHESS.COM JANUARY CLIMB THE RATING LADDER (VA)4: FRIDAY (1100-1600) CLASS,ONL:1287 =>1310,,
29,2024-01-14,DMVCHESS.COM JANUARY ACTION SWISS #2 (VA)2: U1600,ONL:1293 =>1287,,
30,2023-12-29,DMVCHESS.COM DECEMBER CLIMB THE RATING LADDER (VA)1: FRIDAY (1100-1600) CLASS,ONL:1146 =>1293,,
31,2023-11-28,DMVCHESS.COM NOVEMBER CLIMB THE RATING LADDER (VA)2: FRIDAY (1100-1600) CLASS,ONL:1101 =>1146,,
32,2023-11-19,2ND SPIEGEL CUP QUALIFIER (MA)2: GRADES K-5,1578 =>1531,1208 =>1185,
