,End_event_date,Event_name,reg Rtg Before/After,Quick Rtg Before/After,Bliz Rtg Before/After
2,2025-02-17,2025 WORLD AMATEUR TEAM TOURNAMENT (NJ)1: WORLD AMATEUR TEAM 2025,2194 =>2201,,
3,2025-01-05,13TH ANNUAL BOSTON CHESS CONGRESS (MA)1: PREMIER SECTION!,2196 =>2194,,
4,2025-01-01,US CHESS BLITZ ON CHESS.COM (CA)1: 1,,,ONL:2104 =>2105
5,2024-12-30,US CHESS BLITZ ON CHESS.COM #1 (CA)1: 1,,,ONL:2102 =>2104
6,2024-12-25,US CHESS BLITZ ON CHESS.COM (CA)1: 1,,,ONL:2092 =>2102
7,2024-12-23,US CHESS BLITZ ON CHESS.COM #2 (CA)1: 1,,,ONL:2087 =>2092
8,2024-12-18,US CHESS BLITZ ON CHESS.COM (CA)1: 1,,,ONL:2073 =>2087
9,2024-12-01,2024 U.S. MASTERS CHESS CHAMPIONSHIP (NC)1: 2024 US MASTERS,2202 =>2196,,
10,2024-10-13,89TH GREATER BOSTON OPEN (MA)1: PREMIER,2190 =>2202,1929 =>1949,
11,2024-10-09,US CHESS BLITZ ON CHESS.COM (CA)1: 1,,,ONL:2073 =>2073
12,2024-09-29,BIG MONEY SWISS (MA)4: PLAY UP CHALLENGE,2153 =>2190,1851 =>1929,
13,2024-09-27,US CHESS RAPID ON CHESS.COM (CA)1: 1,,ONL:1886 =>1902,
14,2024-09-21,US CHESS BLITZ OPEN ON CHESS.COM (CA)1: 1,,,ONL:2067 =>2073
15,2024-08-28,US CHESS BLITZ ON CHESS.COM (CA)1: 1,,,ONL:2037 =>2067
16,2024-08-18,54TH ANNUAL CONTINENTAL OPEN (MA)1: PREMIER,2148 =>2153,,
17,2024-08-10,ICC AND USCF ONLINE QUICK RATED TOU (PA)1: 1,,ONL:1827 =>1886,
18,2024-08-02,BIG MONEY BLITZ (MA)1: OPEN,,,2014 =>1988
19,2024-07-07,52ND ANNUAL WORLD OPEN (PA)2: UNDER 2200,2098 =>2148,,
20,2024-06-22,BCF BIG MONEY SWISS (MA)1: OPEN,2076 =>2098,1800 =>1851,
21,2024-06-15,PLAY UP CHALLENGE (MA)1: EVERYBODY,2061 =>2076,1753 =>1800,
22,2024-05-27,92ND MASSACHUSETTS OPEN (MA)1: CHAMPIONSHIP,2048 =>2061,,
23,2024-05-19,BARRY S. SPIEGEL CUP (MA)3: ELEMENTARY SCHOOL,2047 =>2048,,
24,2024-04-28,32ND MASSACHUSETTS G-60 CHAMPIONSHI (MA)1: CHAMPIONSHIP,2019 =>2047,1663 =>1753,
25,2024-04-21,BCF SPRING FESTIVAL (MA)1: OPEN,2012 =>2019,,
26,2024-04-13,ICC AND USCF ONLINE QUICK RATED TOU (PA)1: 1,,ONL:1726 =>1827,
27,2024-04-13,US CHESS RAPID ON CHESS.COM (CA)1: 1,,ONL:1727 =>1726,
28,2024-03-16,3RD BROOKLINE BLITZ CHAMPIONSHIP (MA)1: CHAMPIONSHIP,,,2013 =>2014
29,2024-03-09,ICC AND USCF ONLINE QUICK RATED TOU (PA)1: 1,,ONL:1726 =>1727,
30,2024-03-06,US CHESS BLITZ ON CHESS.COM (CA)1: 1,,,ONL:2060 =>2037
31,2024-02-24,BIG MONEY SWISS (MA)1: OPEN,1987 =>2012,1571 (P23) =>1663,
32,2024-02-14,US CHESS BLITZ ON CHESS.COM (CA)1: 1,,,ONL:2083 =>2060
33,2024-02-07,US CHESS BLITZ ON CHESS.COM (CA)1: 1,,,ONL:2060 =>2083
34,2024-01-31,US CHESS BLITZ ON CHESS.COM (CA)1: 1,,,ONL:2048 =>2060
35,2024-01-20,BROOKLINE BLITZ CHAMPIONSHIP (MA)1: OPEN SECTION,,,1995 (P22) =>2013
36,2024-01-07,12TH ANNUAL BOSTON CHESS CONGRESS! (MA)2: UNDER 2100 SECTION,1947 =>1987,,
37,2024-01-01,HERB HEALY 2024 (MA)1: RATED,1925 =>1947,1488 (P19) =>1571 (P23),
38,2023-12-30,YEAR END QUADS (MA)2: QUAD 2,1915 =>1925,,
39,2023-12-23,BLACK DIAMOND PREMIER (MA)1: OPEN,1890 =>1915,1434 (P16) =>1488 (P19),
40,2023-12-10,HARRY NELSON PILLSBURY MEMORIAL (MA)1: OPEN,1863 =>1890,1247 (P12) =>1434 (P16),
41,2023-12-06,US CHESS BLITZ ON CHESS.COM (CA)1: 1,,,ONL:2047 =>2048
42,2023-12-02,US CHESS BLITZ ON CHESS.COM (CA)1: 1,,,ONL:2021 =>2047
43,2023-12-02,ICC AND USCF ONLINE QUICK RATED TOU (PA)1: 1,,ONL:1671 =>1726,
44,2023-11-26,4TH BOSTON ELITE THANKSGIVING FIDE (MA)3: SIDE GAMES,1835 =>1863,,
45,2023-11-26,4TH BOSTON ELITE THANKSGIVING FIDE (MA)1: PREMIER,1834 =>1835,,
46,2023-11-22,US CHESS BLITZ ON CHESS.COM (CA)1: 1,,,ONL:2017 =>2021
47,2023-11-20,US CHESS BLITZ ON CHESS.COM #1 (CA)1: 1,,,ONL:2016 =>2017
48,2023-11-12,BCF FALL FESTIVAL (MA)2: OPEN,1755 =>1834,,
49,2023-11-03,US CHESS RAPID ON CHESS.COM (CA)1: 1,,ONL:1653 =>1671,
50,2023-11-01,US CHESS BLITZ ON CHESS.COM (CA)1: 1,,,ONL:2012 =>2016
51,2023-10-30,US CHESS BLITZ ON CHESS.COM #1 (CA)1: 1,,,ONL:1999 =>2012
