,End_event_date,Event_name,reg Rtg Before/After,Quick Rtg Before/After,Bliz Rtg Before/After
2,2024-09-11,WEDNESDAY NIGHT RAPID (FL)1: OPEN,,1863** =>1851,
3,2024-09-02,2024 HARVEY LERMAN FL STATE CHESS C (FL)1: OPEN-2D,2435 =>2439,,
4,2024-09-01,2024 FLORIDA STATE BLITZ CHESS CHAMPIONSHIP (FL)1: OPEN BLITZ,,,2168 =>2169
5,2024-08-31,2024 FLORIDA STATE QUICK CHESS CHAMPIONSHIP (FL)1: OPEN QUICK,,1827 =>1863,
6,2024-08-14,11TH ANNUAL WASHINGTON INTERNATIONA (MD)1: CHAMPIONSHIP,2431 =>2435,,
7,2024-07-21,32ND ANNUAL SOUTHERN OPEN (FL)1: MAJOR,2417 =>2431,,
8,2024-07-20,SOUTHERN OPEN BLITZ (FL)1: BLITZ,,,2152 =>2168
9,2024-06-23,2024 US CADET CHAMPIONSHIP (IL)1: CADET,2417 =>2417,,
10,2024-06-19,WEDNESDAY NIGHT RAPID (FL)1: OPEN,,1829 =>1827,
11,2024-06-16,CFCC 2024 SUNSHINE OPEN & SCHOLASTIC (FL)1: MASTER-EXPERT,2423 =>2417,,
12,2024-05-29,WEDNESDAY NIGHT RAPID (FL)1: OPEN,,1831 =>1829,
13,2024-05-22,WEDNESDAY NIGHT RAPID (FL)1: OPEN,,1825 =>1831,
14,2024-05-01,WEDNESDAY NIGHT RAPID (FL)1: OPEN,,1804 =>1825,
15,2024-04-10,WEDNESDAY NIGHT RAPID (FL)1: OPEN,,1789 =>1804,
16,2024-03-27,WEDNESDAY NIGHT RAPID (FL)1: OPEN,,1802 =>1789,
17,2024-03-10,FLORIDA SCHOLASTIC CHAMPIONSHIP (FL)1: K-12 CHAMPIONSHIP-2D,2430 =>2423,,
18,2024-03-06,WEDNESDAY NIGHT RAPID (FL)1: OPEN,,1774 =>1802,
19,2024-02-28,WEDNESDAY NIGHT RAPID (FL)1: OPEN,,1752 =>1774,
20,2024-02-25,2024 AMATEUR TEAM SOUTH (FL)3: AMATEUR TEAM SOUTH COMBINED,2440 =>2430,,
21,2024-02-21,WEDNESDAY NIGHT RAPID (FL)1: OPEN,,1738 =>1752,
22,2024-02-17,HARRIS BLITZ (FL)1: OPEN-1D,,,2134 =>2152
23,2024-02-17,3RD ANNUAL JOHN G. HARRIS CHAMPIONS (FL)1: OPEN-1D,2446 =>2440,1615 =>1738,
24,2024-02-14,WEDNESDAY NIGHT RAPID (FL)1: OPEN,,1632 =>1615,
25,2024-02-07,WEDNESDAY NIGHT RAPID (FL)1: OPEN,,1609 =>1632,
26,2024-01-31,WEDNESDAY NIGHT RAPID (FL)1: OPEN,,1431 =>1609,
27,2024-01-24,WEDNESDAY NIGHT RAPID (FL)1: OPEN,,1393 =>1431,
28,2024-01-17,WEDNESDAY NIGHT RAPID (FL)1: OPEN,,1366 =>1393,
29,2024-01-10,WEDNESDAY NIGHT RAPID (FL)1: OPEN,,1324 =>1366,
30,2023-12-17,2023 NATIONAL K-12 GRADE CHAMPIONSHIPS (FL)3: 10TH GRADE CHAMPIONSHIP,2446 =>2446,,
31,2023-11-06,1000GM FT. LAUDERDALE NORM INVITATIONAL (FL)1: GM GROUP,2440 =>2446,,
32,2023-09-04,LERMAN FLORIDA STATE CHAMPIONSHIP- (FL)1: CHAMPIONSHIP,2425 =>2440,,
33,2023-08-05,SIXDAYS BUDAPEST JUL-AUG - GM B (HUN)1: SIXDAYS BUDAPEST JUL-AUG - GM B,2441 =>2425,,
34,2023-07-30,VEZERKEPZO GM 7 DAYS (HUN)1: VEZERKEPZO GM 7 DAYS,2444 =>2441,,
35,2023-07-19,VEZERKEPZO SUMMER GM (HUN)1: VEZERKEPZO SUMMER GM,2440 =>2444,,
36,2023-07-11,FIRST SATURDAY JULY 2023 (HUN)1: FIRST SATURDAY JULY 2023,2426 =>2440,,
37,2023-06-22,2ND JANOS RIGO MEMORIAL GM (HUN)1: 2ND JANOS RIGO MEMORIAL GM,2407 =>2426,,
38,2023-06-13,FIRST SATURDAY GM JUNE (HUN)1: FIRST SATURDAY GM JUNE,2395 =>2407,,
39,2023-05-21,28TH SPACE COAST OPEN (FL)1: MASTER/EXPERT,2402 =>2395,,
40,2023-04-09,15TH ANNUAL OPEN AT FOXWOODS (CT)1: OPEN,2396 =>2402,,
41,2023-03-19,CCC SPRING 2023 NORM INVITATIONAL (NC)1: GM A,2413 =>2396,,
42,2023-03-12,2023 FLORIDA STATE SCHOLASTIC CHAMP (FL)8: K-12 CHAMPIONSHIP-2D,2409 =>2413,,
43,2023-01-08,8TH ANNUAL GULF COAST NEW YEAR'S OPEN (FL)1: PREMIER,2402 =>2409,,
44,2022-12-30,BASEL CHRISTMAS OPEN MASTER (SUI)1: BASEL CHRISTMAS OPEN MASTER,2405 =>2402,,
45,2022-12-22,19TH VANDOEUVE OPEN GROUP A (FRA)1: 19TH VANDOEUVE OPEN GROUP A,2403 =>2405,,
46,2022-11-27,2022 U.S. MASTERS CHESS CHAMPIONSHIP (NC)1: MASTERS,2402 =>2403,,
47,2022-11-22,CCC FALL ELITE BLITZ (NC)1: FIDE BLITZ,,,2163 =>2134
