,End_event_date,Event_name,reg Rtg Before/After,Quick Rtg Before/After,Bliz Rtg Before/After
2,2025-01-20,57TH ANNUAL LIBERTY BELL OPEN! (PA)2: UNDER 2100 SECTION,1778** =>1823,,
3,2025-01-05,2025 JANUARY MARSHALL PREMIER FIDE (NY)2: PREMIER U2000,1761 =>1778,,
4,2024-12-23,2024 NORTH AMERICAN YOUTH (VA)12: U08-GIRLS,1692 =>1761,,
5,2024-12-19,2024 NORTH AMERICAN YOUTH BLITZ (VA)6: U08-OPEN,,,1328 =>1348
6,2024-12-08,2024 NATIONAL K-12 GRADE CHAMPIONSHIP (MD)10: 3RD GRADE CHAMPIONSHIP,1659 =>1692,,
7,2024-12-05,2024 K-12 BLITZ CHAMPIONSHIP (MD)2: K-6 BLITZ,,,1322 =>1328
8,2024-11-10,8TH NY STATE GIRLS CHAMPIONSHIP! (NY)3: K-3 CHAMPIONSHIP,1669 =>1659,,
9,2024-10-27,28TH ANNUAL EASTERN CHESS CONGRESS! (NJ)2: UNDER 2100 SECTION,1666 =>1669,,
10,2024-10-20,13TH ANNUAL HARTFORD OPEN! (CT)2: UNDER 2100 SECTION,1646 =>1666,,
11,2024-10-06,OCTOBER MARSHALL PREMIER FIDE-U2000 (NY)1: MARSHALL PREMIER UNDER 2000,1640 =>1646,,
12,2024-09-08,SEP MARSHALL PREMIER FIDE - U2000 (NY)1: U2000,1644 =>1640,,
13,2024-09-02,146TH ANNUAL NY STATE CHAMPIONSHIP! (NY)2: UNDER 2100 SECTION,1647 =>1644,,
14,2024-08-18,54TH ANNUAL CONTINENTAL OPEN (MA)8: EXTRA,1627 =>1647,,
15,2024-08-18,54TH ANNUAL CONTINENTAL OPEN (MA)2: UNDER 2100,1645 =>1627,,
16,2024-08-04,AUGUST FIDE PREMIER (NY)2: AUGUST UNDER 2000 PREMIER,1645 =>1645,,
17,2024-07-28,29TH ANNUAL BRADLEY OPEN! (CT)3: UNDER 1800 SECTION,1533 =>1645,,
18,2024-07-20,XXXIV PAN AMERICAN YOUTH CHAMPIONSHIPS (FL)12: U8 GIRLS,1539 =>1533,,
19,2024-07-18,2024 PANAMERICAN YOUTH BLITZ (FL)12: U8 GIRLS,,,1286 =>1322
20,2024-06-09,MARSHALL JUNE PREMIER UNDER 2000 (NY)1: SECTION1,1530 =>1539,,
21,2024-05-27,2024 US AMATEUR EAST INDIVIDUAL (NJ)4: EXTRA GAMES,1541 =>1530,,
22,2024-05-27,2024 US AMATEUR EAST INDIVIDUAL (NJ)1: CHAMPIONSHIP - UNDER 2200,1547 =>1541,,
23,2024-05-19,2024 MAY MARSHALL MONTHLY - U1800 (NY)1: MARSHALL UNDER 1800,1533 =>1547,,
24,2024-05-05,MARSHALL MAY U2000 FIDE PREMIER (NY)1: PREMIER U2000,1548 =>1533,,
25,2024-04-21,2024 APRILMARSHALLMONTHLYFIDE U1800 (NY)1: MARSHALL UNDER 1800,1475 =>1548,,
26,2024-04-14,2024APRIL MARSHALLPREMIERFIDE U2000 (NY)1: PREMOER U2000,1484 =>1475,,
27,2024-03-31,16TH ANNUAL OPEN AT FOXWOODS (CT)4: UNDER 1800,1485 =>1484,,
28,2024-03-17,MARSHALL MARCH UNDER 1800 (NY)1: MARSHALL MARCH UNDER 1800,1482 =>1485,,
29,2024-03-03,2024 MARCH MARSHALL PREMIER -U2000 (NY)1: U2000 PREMIER,1499 =>1482,,
30,2024-02-04,MARSHALL FEBRUARY UNDER 2000 PREMIE (NY)1: SECTION1,1419 =>1499,,
31,2024-01-15,56TH ANNUAL LIBERTY BELL OPEN! (PA)4: UNDER 1700 SECTION,1384 =>1419,,
32,2024-01-14,11TH LIBERTY BELL OPEN BLITZ! (PA)1: PERFECT HOLIDAY!,,,1355 (P18) =>1286
33,2024-01-07,MARSHALL PREMIER UNDER 2000 (NY)1: MARSHALL PREMIER UNDER 2000,1361 =>1384,,
34,2023-12-29,48TH ANNUAL EASTERN OPEN! (VA)3: UNDER 1900 SECTION,1394 =>1361,,
35,2023-12-28,14TH ANNUAL EASTERN OPEN BLITZ! (VA)1: HAPPY HOLIDAYS!!,,,(Unrated) =>1355 (P18)
36,2023-12-17,2023 NATIONAL K-12 GRADE CHAMPIONSHIPS (FL)11: 2ND GRADE CHAMPIONSHIP,1407 =>1394,,
37,2023-12-03,MARSHALL AMATEUR CHAMPIONSHIP JERRY (NY)1: ALL,1383 =>1407,,
38,2023-11-26,54TH ANNUAL NATIONAL CHESS CONGRESS (PA)4: UNDER 1800,1379 =>1383,,
39,2023-11-12,7TH ANNUAL NYS GIRLS' CHAMPIONSHIP! (NY)3: K-3 CHAMPIONSHIP,1376 =>1379,,
40,2023-10-29,HUNTER OCTOBER TOURNAMENT (NY)2: CHAMPIONSHIP,1295 =>1376,1045 =>1222,
41,2023-10-22,MARSHALL UNDER 2400 (NY)1: MARSHALL UNDER 2400,1261 =>1295,,
42,2023-10-08,12TH ANNUAL HARTFORD OPEN! (CT)4: UNDER 1500 SECTION,1114 =>1261,,
43,2023-10-01,HUNTER OCTOBER TOURNAMENT (NY)2: CHAMPIONSHIP,1083 =>1114,1007 =>1045,
44,2023-09-23,ICA G R QUADS SEP 23 (NJ)2: SECTION 2 SS GLEN ROCK G/45;D5,1147 =>1083,1061 =>1007,
45,2023-09-17,SUNDAY G-50 (NY)2: U1600,1164 =>1147,1074 =>1061,
46,2023-09-10,CHAMPIONSHIP AT BRYANT PARK XXIX (NY)2: CHAMPIONSHIP,1148 =>1164,1051 =>1074,
