,End_event_date,Event_name,reg Rtg Before/After,Quick Rtg Before/After,Bliz Rtg Before/After
1,2025-01-18,BIG MONEY SWISS (MA)2: U1900,1532** =>1516,1329** =>1303,
2,2025-01-05,13TH ANNUAL BOSTON CHESS CONGRESS (MA)7: EXTRA GAMES!,1550 =>1532,,
3,2025-01-05,13TH ANNUAL BOSTON CHESS CONGRESS (MA)3: UNDER 1900 SECTION,1527 =>1550,,
4,2024-12-15,HARRY NELSON PILLSBURY MEMORIAL (MA)8: EXTRA,1531 =>1527,1334 =>1329,
5,2024-12-15,HARRY NELSON PILLSBURY MEMORIAL (MA)3: UNDER 2000,1563 =>1531,1367 =>1334,
6,2024-11-17,$15 OPEN (MA)2: U1800,1507 =>1563,1300 =>1367,
7,2024-11-03,2ND SPIEGEL CUP QUALIFIER (MA)1: GRADES 6-8,1549 =>1507,1344 =>1300,
8,2024-10-20,13TH ANNUAL HARTFORD OPEN! (CT)3: UNDER 1800 SECTION,1485 =>1549,,
9,2024-10-13,89TH GREATER BOSTON OPEN (MA)9: EXTRA,1524 =>1485,1390 =>1344,
10,2024-10-13,89TH GREATER BOSTON OPEN (MA)4: U1800,1502 =>1524,1363 =>1390,
11,2024-09-22,1ST SPIEGEL CUP QUALIFIER (MA)1: GRADES 6-8,1429 =>1502,1286 =>1363,
12,2024-09-02,83RD NEW ENGLAND OPEN (MA)2: UNDER 2000,1454 =>1429,,
13,2024-07-28,29TH ANNUAL BRADLEY OPEN! (CT)3: UNDER 1800 SECTION,1503 =>1454,,
14,2024-07-20,BCF BIG MONEY SWISS (MA)2: U1900,1541 =>1503,1328 =>1286,
15,2024-05-27,92ND MASSACHUSETTS OPEN (MA)3: UNDER 1800,1522 =>1541,,
16,2024-05-26,92ND MASSACHUSETTS OPEN (MA)8: EXTRA DUAL,1532 =>1522,1341 =>1328,
17,2024-05-04,5TH BROOKLINE BLITZ CHAMPIONSHIP (MA)2: U1600,,,1276 (P24) =>1252
18,2024-04-28,32ND MASSACHUSETTS G-60 CHAMPIONSHI (MA)4: U1800,1410 =>1532,1166 =>1341,
19,2024-04-14,2024 KCF ALL-GIRLS NATIONAL CHAMPIONSHIPS (IL)7: UNDER 12,1336 =>1410,,
20,2024-03-23,BRYANT UNIVERSITY CHAMPIONSHIP (RI)2: U1600,1358 =>1336,1199 =>1166,
21,2024-03-16,3RD BROOKLINE BLITZ CHAMPIONSHIP (MA)2: U1600,,,(Unrated) =>1276 (P24)
22,2024-03-03,3RD SPIEGEL CUP QUALIFIER (MA)2: GRADES K-5,1266 =>1358,1097 =>1199,
23,2024-02-24,10TH QUEEN CITY TORNADO (NH)5: EXTRA GAMES,1266 =>1266,1097 =>1097,
24,2024-02-24,10TH QUEEN CITY TORNADO (NH)3: UNDER 1400,1299 =>1266,1123 =>1097,
25,2024-02-17,NASHUA GRAND PRIX TORNADO (NH)3: UNDER 1625,1303 =>1299,1106 =>1123,
26,2024-02-03,126TH RHODE ISLAND OPEN (RI)3: U1500,1328 =>1303,1122 =>1106,
27,2024-01-21,GUS GOSSELIN GRADE CHAMPIONSHIP (MA)3: GRADE 5,1336 =>1328,1136 =>1122,
28,2024-01-07,12TH ANNUAL BOSTON CHESS CONGRESS! (MA)5: UNDER 1500 SECTION,1255 =>1336,,
29,2023-12-16,1ST RAR OPEN (NH)3: UNDER 1625,1176 =>1255,1056 =>1136,
30,2023-12-10,HARRY NELSON PILLSBURY MEMORIAL (MA)5: U1200,1218 =>1176,1089 =>1056,
31,2023-12-02,3RD EAST PROVIDENCE TOURNAMENT (RI)2: U1500,1070 =>1218,974 =>1089,
32,2023-11-19,2ND SPIEGEL CUP QUALIFIER (MA)4: U1200,1011 =>1070,852 =>974,
33,2023-10-15,88TH GREATER BOSTON OPEN (MA)7: U1200,979 =>1011,711 =>852,
34,2023-10-08,12TH ANNUAL HARTFORD OPEN! (CT)5: UNDER 1200 SECTION,834 =>979,,
35,2023-10-01,1ST SPIEGEL CUP QUALIFER (MA)4: U1200,799 =>834,626 =>711,
36,2023-09-17,JUNIOR OPEN (MA)3: U1000,787 =>799,520 =>626,
37,2023-07-16,53RD ANNUAL CONTINENTAL OPEN! (MA)7: UNDER 1100 SECTION,557 =>787,,
38,2023-06-27,15TH ANNUAL WORLD OPEN UNDER 13 CHAMPIONSHIP (PA)3: UNDER 700,543 =>557,,
39,2023-06-17,1ST WARREN ARMORY CHESS TOURNAMENT (RI)3: U1000,537 =>543,525 =>520,
40,2023-06-11,JUNE SCHOLASTIC (MA)2: U 800,554 (P23) =>537,539 (P23) =>525,
41,2023-05-13,LOUIS GIARRUSSO CENTENNIAL CHAMPION (RI)3: U1000,607 (P19) =>554 (P23),594 (P19) =>539 (P23),
42,2023-04-30,31ST MASSACHUSETTS G/60 CHAMPIONSHIP (MA)8: U1000,620 (P15) =>607 (P19),607 (P15) =>594 (P19),
43,2023-04-01,14TH PAUL TAYLOR MEMORIAL CLASSIC (RI)4: U600,471 (P11) =>620 (P15),446 (P11) =>607 (P15),
44,2023-03-19,MASSACHUSETTS GIRLS QUALIFIER (MA)1: PREMIER,524 (P7) =>471 (P11),514 (P7) =>446 (P11),
45,2023-03-11,2023 OSCA SCHOLASTIC CHAMPIONSHIP (RI)3: ELEMENTARY (GRADE K-5),474 (P3) =>524 (P7),472 (P3) =>514 (P7),
46,2023-03-05,3RD SPIEGEL CUP QUALIFIER (MA)6: U400,(Unrated) =>474 (P3),(Unrated) =>472 (P3),
