,End_event_date,Event_name,reg Rtg Before/After,Quick Rtg Before/After,Bliz Rtg Before/After
2,2025-03-01,MARCH QUADS (MA)2: QUAD 2,2095** =>2090,,
3,2025-02-22,PLAY UP CHALLENGE (MA)1: OPEN,2078 =>2095,1877 =>1897,
4,2025-02-01,FEBRUARY QUADS (MA)1: QUAD 1,2046 =>2078,,
5,2025-01-26,BLACK DIAMOND PREMIER (MA)1: PREMIER,2023 =>2046,1833 =>1877,
6,2024-12-15,HARRY NELSON PILLSBURY MEMORIAL (MA)1: MAJOR,2014 =>2023,1821 =>1833,
7,2024-12-01,5TH_BOSTON_ELITE_THANKSGIVING_FIDE_ (MA)1: PREMIER,2015 =>2014,,
8,2024-11-11,FALL FESTIVAL (MA)1: OPEN,2009 =>2015,,
9,2024-11-02,NOVEMBER QUADS (MA)2: QUAD 2,2005 =>2009,,
10,2024-10-27,ORIGAMI OPEN (MA)1: WASHI (1700+USCF) FIDE RATED!,2004 =>2005,,
11,2024-10-20,13TH ANNUAL HARTFORD OPEN! (CT)1: MAJOR SECTION!,2005 =>2004,,
12,2024-10-13,89TH GREATER BOSTON OPEN (MA)2: U2200,1979 =>2005,1786 =>1821,
13,2024-10-05,OCTOBER QUADS (MA)1: QUAD 1,1985 =>1979,,
14,2024-09-29,BIG MONEY SWISS (MA)4: PLAY UP CHALLENGE,1975 =>1985,1770 =>1786,
15,2024-09-29,BIG MONEY SWISS (MA)1: OPEN,1970 =>1975,1753 =>1770,
16,2024-09-02,83RD NEW ENGLAND OPEN (MA)1: CHAMPIONSHIP,1925 =>1970,,
17,2024-08-18,54TH ANNUAL CONTINENTAL OPEN (MA)2: UNDER 2100,1942 =>1925,,
18,2024-08-03,QUADS (MA)2: QUAD 2-3,1924 =>1942,,
19,2024-07-20,BCF BIG MONEY SWISS (MA)1: OPEN,1928 =>1924,1765 =>1753,
20,2024-07-14,73RD NEW HAMPSHIRE OPEN (NH)1: OPEN,1929 =>1928,,
21,2024-06-29,1ST CONCORD OPEN (NH)1: PREMIER (1700+ USCF),1924 =>1929,1753 =>1765,
22,2024-06-22,BCF BIG MONEY SWISS (MA)1: OPEN,1912 =>1924,1735 =>1753,
23,2024-06-16,NEW ENGLAND CLASS CHAMPIONSHIP (MA)1: MASTER/EXPERT,1902 =>1912,,
24,2024-06-08,JUNE QUADS (MA)2: QUAD 2,1893 =>1902,,
25,2024-05-27,92ND MASSACHUSETTS OPEN (MA)1: CHAMPIONSHIP,1912 =>1893,,
26,2024-05-19,BARRY S. SPIEGEL CUP (MA)3: ELEMENTARY SCHOOL,1896 =>1912,,
27,2024-04-07,1ST PENGUIN FESTIVAL (MA)1: EMPEROR (1600+ USCF),1930 =>1896,,
28,2024-03-24,BLACK DIAMOND PREMIER (MA)1: OPEN,1905 =>1930,1706 =>1735,
29,2024-03-09,1ST WARNER OPEN (NH)1: PREMIER (1600+),1895 =>1905,1690 =>1706,
30,2024-02-24,BIG MONEY SWISS (MA)1: OPEN,1877 =>1895,1645 =>1690,
31,2024-02-17,NASHUA GRAND PRIX TORNADO (NH)1: PREMIER (1600+),1885 =>1877,1650 =>1645,
32,2024-02-11,WINTER TEAM CHALLENGE (MA)1: U1800,1902 =>1885,1671 =>1650,
33,2024-02-03,126TH RHODE ISLAND OPEN (RI)1: OPEN,1911 =>1902,1671 =>1671,
34,2024-01-13,NEW ENGLAND GRAND PRIX INAUGURAL EV (NH)1: PREMIER (1600+)/U2125,1906 =>1911,1648 =>1671,
35,2023-12-10,HARRY NELSON PILLSBURY MEMORIAL (MA)1: OPEN,1866 =>1906,1594 =>1648,
36,2023-12-02,DECEMBER QUADS (MA)1: QUAD 1,1788 =>1866,,
37,2023-11-18,$15 OPEN (MA)1: OPEN,1813 =>1788,1623 =>1594,
38,2023-11-12,BCF FALL FESTIVAL (MA)2: OPEN,1835 =>1813,,
39,2023-11-04,NOVEMBER 4 QUADS (MA)3: QUAD 3,1843 =>1835,,
40,2023-10-28,2023 NH AMATEUR CHAMPIONSHIP (NH)1: CHAMPIONSHIP,1833 =>1843,1611 =>1623,
41,2023-10-21,$15 OPEN OCT (MA)1: OPEN,1745 =>1833,1463 =>1611,
42,2023-10-15,88TH GREATER BOSTON OPEN (MA)2: U2200,1766 =>1745,1501 =>1463,
43,2023-10-07,OCTOBER QUADS (MA)2: QUAD 2,1756 =>1766,,
44,2023-09-24,BLACK DIAMOND PREMIER (MA)2: U2100,1766 =>1756,1510 =>1501,
45,2023-09-23,FALL EQUINOX SWISS (MA)1: OPEN,1755 =>1766,1492 =>1510,
46,2023-09-16,SEPTEMBER QUADS (MA)4: QUAD 4,1719 =>1755,,
47,2023-08-25,BILLERICA CHESS CLUB AUGUST 2023 (MA)1: OPEN,1723 =>1719,,
48,2023-08-19,$15 OPEN AUG (MA)1: OPEN,1653 =>1723,1389 =>1492,
49,2023-08-12,AUGUST QUADS (MA)3: QUAD 3,1630 =>1653,,
50,2023-07-23,72ND NEW HAMPSHIRE OPEN (NH)2: UNDER 1950,1651 =>1630,,
51,2023-05-29,91ST MASSACHUSETTS OPEN (MA)2: UNDER 2100,1657 =>1651,,
