,End_event_date,Event_name,reg Rtg Before/After,Quick Rtg Before/After,Bliz Rtg Before/After
2,2025-03-02,SUNDAY QUADS (NY)13: QUAD 13,1744** =>1772,,
3,2025-02-23,MARSHALL FEBRUARY U2400 & U1800 (NY)2: MONTHLY U1800,1717 =>1744,,
4,2025-02-13,WCC REVENGE OF THE SWISS 2025 (NY)1: PAWN MASTERS,1624 =>1717,,
5,2025-02-08,"ICA G R QUADS AND OPEN FEBRUARY 8 (NJ)14: SECTION OPEN GLEN ROCK G/60,D5",1639 =>1624,1563 =>1536,
6,2025-02-02,HUNTER FEBRUARY TOURNAMENT (NY)1: FUTURE MASTERS,1649 =>1639,1579 =>1563,
7,2025-01-26,PACKER JANUARY 2025 TOURNAMENT (NY)2: OPEN CHAMPIONSHIP,1558 =>1649,1526 =>1579,
8,2025-01-05,2025 JANUARY MARSHALL PREMIER FIDE (NY)2: PREMIER U2000,1577 =>1558,,
9,2024-12-22,MONTHLY DECEMBER (NY)2: MONTHLY U1800 DECEMBER,1642 =>1577,,
10,2024-12-14,"ICA G R QUADS DECEMBER 14 (NJ)15: SECTION OPEN GLEN ROCK G/60,D5",1626 =>1642,1513 =>1526,
11,2024-12-08,2024 NATIONAL K-12 GRADE CHAMPIONSHIP (MD)9: 4TH GRADE CHAMPIONSHIP,1615 =>1626,,
12,2024-12-01,55TH NATIONAL CHESS CONGRESS (PA)4: UNDER 1800,1607 =>1615,,
13,2024-11-24,HUNTER NOVEMBER TOURNAMENT (NY)1: FUTURE MASTERS,1504 =>1607,1389 =>1513,
14,2024-11-17,2024 MONA KARFF MEMORIAL (NY)1: 2024 MONA KARFF MEMORIAL,1505 =>1504,,
15,2024-11-10,8TH NY STATE GIRLS CHAMPIONSHIP! (NY)2: K-6 CHAMPIONSHIP,1477 =>1505,,
16,2024-11-03,4TH ANNUAL PIONEER OPEN (CT)2: U1800,1520 =>1477,1454 =>1389,
17,2024-10-27,28TH ANNUAL EASTERN CHESS CONGRESS! (NJ)4: UNDER 1700 SECTION,1509 =>1520,,
18,2024-10-24,WCC FALL SWISS 2024 (NY)1: OPEN,1563 =>1509,,
19,2024-10-20,HUNTER OCTOBER TOURNAMENT (NY)1: FUTURE MASTERS,1443 =>1563,1285 =>1454,
20,2024-10-10,WCC BLITZAPALOOZA 2024 (NY)1: MAIN ARENA,,,(Unrated) =>1408 (P17)
21,2024-10-06,OCTOBER MARSHALL PREMIER FIDE-U2000 (NY)1: MARSHALL PREMIER UNDER 2000,1475 =>1443,,
22,2024-09-28,GROWING MINDS AT AVENUES 9-28-24 (NY)1: CHAMPIONSHIP,1468 =>1475,,
23,2024-09-22,HUNTER SEPTEMBER TOURNAMENT (NY)1: FUTURE MASTERS,1517 =>1468,1320 =>1285,
24,2024-09-15,MARSHALL SUNDAY G/50 OPEN & U1600 (NY)1: G/50 OPEN,1563 =>1517,1359 =>1320,
25,2024-09-08,SEP MARSHALL PREMIER FIDE - U2000 (NY)1: U2000,1572 =>1563,,
26,2024-08-18,54TH ANNUAL CONTINENTAL OPEN (MA)4: UNDER 1700,1534 =>1572,,
27,2024-08-16,IMPACTCOACHINGNETWORK.ORG MARSHALL SUMMER WEEK 7 (NY)1: GENERAL,1532 =>1534,1336 =>1359,
28,2024-08-04,AUGUST FIDE PREMIER (NY)2: AUGUST UNDER 2000 PREMIER,1536 =>1532,,
29,2024-08-01,WCC SPICY SUMMER QUICK QUADS 2024 (NY)2: QUAD 2,,1383 =>1336,
30,2024-07-25,WCC CHESS HEAT DOUBLE QUADS 2024 (NY)2: QUAD 2,1522 =>1536,1364 =>1383,
31,2024-07-20,ICA G R QUADS JULY 20 (NJ)3: SECTION 3 RR GLEN ROCK G/45;D5,1533 =>1522,1361 =>1364,
32,2024-07-13,U1800 (NY)1: U1800,1517 =>1533,1338 =>1361,
33,2024-07-07,52ND ANNUAL WORLD OPEN (PA)5: UNDER 1600,1465 =>1517,,
34,2024-06-23,MONTHLY FIDE U1800 (NY)1: MONTHLY FIDE U1800,1442 =>1465,,
35,2024-06-20,WCC MICHAEL MCDERMOTT MEMORIAL QUADS 2024 (NY)4: QUAD 4,1431 =>1442,,
36,2024-06-15,ICA G R QUADS JUNE 15 (NJ)3: SECTION 3 RR GLEN ROCK G/45;D5,1435 =>1431,1336 =>1338,
37,2024-06-09,PACKER JUNE CHESS TOURNAMENT (NY)3: JUNIOR CHAMPIONSHIP,1444 =>1435,1338 =>1336,
38,2024-06-02,MARSHALL QUADS- QUAD8 (NY)9: QUAD10,1437 =>1444,,
39,2024-05-27,2024 US AMATEUR EAST INDIVIDUAL (NJ)2: RESERVE - UNDER 1800,1471 =>1437,,
40,2024-05-19,2024 MAY MARSHALL MONTHLY - U1800 (NY)1: MARSHALL UNDER 1800,1548 =>1471,,
41,2024-05-16,WCC CLUB CHAMPIONSHIP 2024 (NY)1: OPEN,1414 =>1548,,
42,2024-05-05,HUNTER MAY TOURNAMENT (NY)1: FUTURE MASTERS,1422 =>1414,1349 =>1338,
43,2024-04-28,2024 ELEMENTARY CHAMPIONSHIP (OH)8: K3 CHAMPIONSHIP,1406 =>1422,,
44,2024-04-21,2024 APRILMARSHALLMONTHLYFIDE U1800 (NY)1: MARSHALL UNDER 1800,1446 =>1406,,
45,2024-04-14,2024APRIL MARSHALLPREMIERFIDE U2000 (NY)1: PREMOER U2000,1446 =>1446,,
46,2024-04-07,MCC SPEYER QUADS (NY)3: QUAD 4,1435 =>1446,1342 =>1349,
47,2024-04-06,ICA G R QUADS APR 6 (NJ)3: SECTION 3 SSGLEN ROCK G/45;D5,1482 =>1435,1398 =>1342,
48,2024-03-24,SUNDAY G-50 (NY)2: G50 U1600,1476 =>1482,1387 =>1398,
49,2024-03-23,ICA G R QUADS MAR 23 (NJ)3: SECTION 3 RR GLEN ROCK G/45;D5,1424 =>1476,1321 =>1387,
50,2024-03-17,MARSHALL MARCH UNDER 1800 (NY)1: MARSHALL MARCH UNDER 1800,1386 =>1424,,
51,2024-03-10,56TH NY STATE SCHOLASTIC CHAMPIONSHIPS! (NY)11: PRIMARY CHAMPIONSHIP,1347 =>1386,,
