,End_event_date,Event_name,reg Rtg Before/After,Quick Rtg Before/After,Bliz Rtg Before/After
2,2025-01-18,BIG MONEY SWISS (MA)1: OPEN,2126** =>2122,1883** =>1881,
3,2025-01-05,13TH ANNUAL BOSTON CHESS CONGRESS (MA)1: PREMIER SECTION!,2101 =>2126,,
4,2024-12-29,49TH ANNUAL EASTERN OPEN! (VA)1: PREMIER SECTION!,2093 =>2101,,
5,2024-12-15,HARRY NELSON PILLSBURY MEMORIAL (MA)1: MAJOR,2060 =>2093,1818 =>1883,
6,2024-12-01,5TH_BOSTON_ELITE_THANKSGIVING_FIDE_ (MA)1: PREMIER,2079 =>2060,,
7,2024-11-11,FALL FESTIVAL (MA)1: OPEN,2071 =>2079,,
8,2024-11-07,BCF CLUB CHAMPIONSHIP (MA)1: OPEN,2076 =>2071,,
9,2024-11-02,NOVEMBER QUADS (MA)1: QUAD 1,2080 =>2076,,
10,2024-10-27,28TH ANNUAL EASTERN CHESS CONGRESS! (NJ)1: PREMIER SECTION!,2097 =>2080,,
11,2024-10-20,13TH ANNUAL HARTFORD OPEN! (CT)1: MAJOR SECTION!,2069 =>2097,,
12,2024-10-13,89TH GREATER BOSTON OPEN (MA)1: PREMIER,2071 =>2069,1817 =>1818,
13,2024-09-29,BIG MONEY SWISS (MA)4: PLAY UP CHALLENGE,2080 =>2071,1821 =>1817,
14,2024-09-02,146TH ANNUAL NY STATE CHAMPIONSHIP! (NY)1: CHAMPIONSHIP!,2075 =>2080,,
15,2024-08-27,AUGUST TUESDAY NIGHT SWISS (MA)2: OPEN,2071 =>2075,,
16,2024-08-18,54TH ANNUAL CONTINENTAL OPEN (MA)1: PREMIER,2055 =>2071,,
17,2024-08-12,REUBENS LANDEY (MA)1: EVERYONE,2053 =>2055,,
18,2024-08-03,QUADS (MA)1: QUAD 1-3,2073 =>2053,,
19,2024-07-28,29TH ANNUAL BRADLEY OPEN! (CT)1: MAJOR SECTION!,2075 =>2073,,
20,2024-07-20,BCF BIG MONEY SWISS (MA)1: OPEN,2071 =>2075,1808 =>1821,
21,2024-07-14,73RD NEW HAMPSHIRE OPEN (NH)1: OPEN,2070 =>2071,,
22,2024-06-22,BCF BIG MONEY SWISS (MA)1: OPEN,2075 =>2070,1795 =>1808,
23,2024-06-09,32ND ANNUAL EASTERN CLASS (CT)2: EXPERT SECTION,2085 =>2075,,
24,2024-05-27,92ND MASSACHUSETTS OPEN (MA)1: CHAMPIONSHIP,2077 =>2085,,
25,2024-05-19,BARRY S. SPIEGEL CUP (MA)3: ELEMENTARY SCHOOL,2094 =>2077,,
26,2024-05-11,2ND LOU GIARRUSSO CENTENNIAL CUP (RI)1: OPEN,2085 =>2094,1753 =>1795,
27,2024-04-28,32ND MASSACHUSETTS G-60 CHAMPIONSHI (MA)1: CHAMPIONSHIP,2085 =>2085,1724 =>1753,
28,2024-04-21,BCF SPRING FESTIVAL (MA)1: OPEN,2083 =>2085,,
29,2024-04-14,UMASS SPRING CLASSIC (MA)1: OPEN,2080 =>2083,,
30,2024-04-10,GAIL S. LINGNER MEMORIAL (MA)1: OPEN,2081 =>2080,,
31,2024-03-31,16TH ANNUAL OPEN AT FOXWOODS (CT)2: UNDER 2200,2078 =>2081,,
32,2024-03-06,GEORGE O-ROURKE MEMORIAL (MA)1: PREMIER,2052 =>2078,,
33,2024-02-24,BIG MONEY SWISS (MA)1: OPEN,2054 =>2052,1716 =>1724,
34,2024-02-19,WORLD TEAM 2024 (NJ)1: WORLD AMATEUR TEAM 2024,2049 =>2054,,
35,2024-01-31,REGGIE BOONE MEMORIAL (MA)1: OPEN,2051 =>2049,,
36,2024-01-27,JANUARY QUADS (MA)1: QUAD 1,2045 =>2051,,
37,2024-01-13,NEW ENGLAND GRAND PRIX INAUGURAL EV (NH)1: PREMIER (1600+)/U2125,2072 =>2045,1739 =>1716,
38,2024-01-07,12TH ANNUAL BOSTON CHESS CONGRESS! (MA)1: PREMIER SECTION!,2050 =>2072,,
39,2023-12-27,TIMOTHY RYAN MEMORIAL (MA)1: PREMIER,2005 =>2050,,
40,2023-12-16,1ST RAR OPEN (NH)1: PREMIER (1600+),1992 =>2005,1720 =>1739,
41,2023-12-10,HARRY NELSON PILLSBURY MEMORIAL (MA)1: OPEN,2008 =>1992,1741 =>1720,
42,2023-11-29,ERNEST FANDREYER MEMORIAL (MA)1: OPEN,2005 =>2008,,
43,2023-11-26,4TH BOSTON ELITE THANKSGIVING FIDE (MA)1: PREMIER,1967 =>2005,,
44,2023-11-12,2023 CONNECTICUT STATE CHAMPIONSHIP (CT)2: U2200,1948 =>1967,1698 =>1741,
45,2023-11-04,OCEAN STATE CHESS PREMIER OPEN CHAMPIONSHIP (RI)1: OPEN,1950 =>1948,1686 =>1698,
46,2023-10-28,2023 NH AMATEUR CHAMPIONSHIP (NH)1: CHAMPIONSHIP,1927 =>1950,1591 =>1686,
47,2023-10-21,1ST NASHUA TORNADO (NH)1: PREMIER (1400+),1925 =>1927,1532 =>1591,
48,2023-10-18,WACHUSETT CLUB CHAMPIONSHIP (MA)1: CLOSED,1903 =>1925,,
49,2023-10-15,88TH GREATER BOSTON OPEN (MA)1: OPEN,1901 =>1903,1500 =>1532,
50,2023-10-08,12TH ANNUAL HARTFORD OPEN! (CT)1: MAJOR SECTION,1904 =>1901,,
51,2023-09-26,SEPTEMBER TUESDAY NIGHT SWISS (OTB) (MA)1: OPEN,1929 =>1904,,
