,End_event_date,Event_name,reg Rtg Before/After,Quick Rtg Before/After,Bliz Rtg Before/After
2,2025-03-02,SUNDAY QUADS (NY)12: QUAD 12,1746** =>1715,,
3,2025-02-17,2025 WORLD AMATEUR TEAM TOURNAMENT (NJ)1: WORLD AMATEUR TEAM 2025,1731 =>1746,,
4,2025-02-09,MARSHALL FIDE PREMIER OPEN & U2000 (NY)2: PREMIER U2000,1670 =>1731,,
5,2025-02-02,SUNDAY G/50 OPEN & U1600 (NY)1: SUNDAY G50 OPEN,1668 =>1670,1562 =>1565,
6,2025-01-26,SUNDAY QUADS (NY)6: QUAD 6,1676 =>1668,,
7,2025-01-20,57TH ANNUAL LIBERTY BELL OPEN! (PA)3: UNDER 1900 SECTION,1692 =>1676,,
8,2025-01-12,MARSHALL SPEYER QUADS (NY)2: QUAD 2,1682 =>1692,1559 =>1562,
9,2025-01-05,2025 JANUARY MARSHALL PREMIER FIDE (NY)2: PREMIER U2000,1713 =>1682,,
10,2024-12-29,SUNDAY QUADS (NY)6: QUAD 6,1707 =>1713,,
11,2024-12-23,2024 NORTH AMERICAN YOUTH (VA)6: U14-GIRLS,1697 =>1707,,
12,2024-12-21,2024 NORTH AMERICAN YOUTH OPENBLITZ (VA)2: AMATEUR,,,1375 =>1501
13,2024-12-19,2024 NORTH AMERICAN YOUTH BLITZ (VA)3: U14-OPEN,,,1413 =>1375
14,2024-12-14,"ICA G R QUADS DECEMBER 14 (NJ)15: SECTION OPEN GLEN ROCK G/60,D5",1696 =>1697,1565 =>1559,
15,2024-12-08,MARSHALL PREMIER FIDE DECEMBER (NY)2: PREMIER U2000,1704 =>1696,,
16,2024-12-01,55TH NATIONAL CHESS CONGRESS (PA)3: UNDER 2000,1730 =>1704,,
17,2024-11-24,JERRY SIMON MEMORIAL MARSHALL AMATEUR (NY)1: JERRY SIMON MEMORIAL,1716 =>1730,,
18,2024-11-17,2024 MONA KARFF MEMORIAL (NY)1: 2024 MONA KARFF MEMORIAL,1723 =>1716,,
19,2024-11-10,8TH NY STATE GIRLS CHAMPIONSHIP! (NY)1: OPEN CHAMPIONSHIP,1728 =>1723,,
20,2024-11-03,"MAGNUS LEAGJUE SEASON 10, 2ND MATCH! (NY)2: J-V SECTION",1706 =>1728,,
21,2024-10-27,28TH ANNUAL EASTERN CHESS CONGRESS! (NJ)3: UNDER 1900 SECTION,1701 =>1706,,
22,2024-10-20,13TH ANNUAL HARTFORD OPEN! (CT)3: UNDER 1800 SECTION,1720 =>1701,,
23,2024-10-12,IMPACTCOACHINGNETWORK.ORG SATURDAY SUPER TOURNEY (NY)3: JEREMIAH B,1727 =>1720,,
24,2024-09-28,MCC G50 OPEN (NY)1: SATURDAY G50,1764 =>1727,1598 =>1565,
25,2024-09-22,MARSHALL MONTHLY FIDE U2400 & U1800 (NY)1: MARSHALL UNDER 2400,1763 =>1764,,
26,2024-09-15,MARSHALL SUNDAY G/50 OPEN & U1600 (NY)1: G/50 OPEN,1739 =>1763,1576 =>1598,
27,2024-09-01,SUNDAY G/50 OPEN & U1600 (NY)1: SUNDAY G50 OPEN,1745 =>1739,1576 =>1576,
28,2024-08-04,AUGUST FIDE PREMIER (NY)2: AUGUST UNDER 2000 PREMIER,1746 =>1745,,
29,2024-08-01,MARSHALL AFTERNOON G-50 (NY)1: AFTERNOON G50,1756 =>1746,1593 =>1576,
30,2024-07-28,29TH ANNUAL BRADLEY OPEN! (CT)3: UNDER 1800 SECTION,1734 =>1756,,
31,2024-07-20,ICA G R QUADS JULY 20 (NJ)2: SECTION 2 RR GLEN ROCK G/45;D5,1713 =>1734,1553 =>1593,
32,2024-07-14,SUNDAY G-50 OPEN (NY)1: G50 OPEN,1718 =>1713,1550 =>1553,
33,2024-07-07,52ND ANNUAL WORLD OPEN (PA)4: UNDER 1800,1688 =>1718,,
34,2024-07-02,2ND WORLD OPEN JUNIOR CHAMPIONSHIP (PA)1: OPEN,1710 =>1688,,
35,2024-06-16,MARSHALL G-50 OPEN (NY)1: OPEN,1730 =>1710,1574 =>1550,
36,2024-06-15,G-50 OPEN (NY)1: G50 OPEN,1742 =>1730,1585 =>1574,
37,2024-06-09,MARSHALL JUNE PREMIER UNDER 2000 (NY)1: SECTION1,1724 =>1742,,
38,2024-06-02,MARSHALL QUADS- QUAD8 (NY)5: QUAD5,1703 =>1724,,
39,2024-06-02,OPEN (NY)1: OPEN,1736 =>1703,1624 =>1585,
40,2024-05-27,33RD ANNUAL CHICAGO OPEN (IL)8: EXTRA RATED GAMES,1755 =>1736,,
41,2024-05-27,33RD ANNUAL CHICAGO OPEN (IL)2: UNDER 2300,1772 =>1755,,
42,2024-05-19,2024 MAY MARSHALL MONTHLY - U2400 (NY)1: MARSHALL MAY UNDER 2400,1787 =>1772,,
43,2024-05-11,SATURDAY G50 (NY)1: G50 OPEN,1786 =>1787,1629 =>1624,
44,2024-05-05,MARSHALL MAY U2000 FIDE PREMIER (NY)1: PREMIER U2000,1788 =>1786,,
45,2024-04-28,SUNDAY G-50 (NY)1: G50 OPEN,1807 =>1788,1649 =>1629,
46,2024-04-21,2024 APRILMARSHALLMONTHLYFIDE U2400 (NY)1: MARSHALL APRIL FIDE UNDER 2400,1807 =>1807,,
47,2024-04-14,2024 KCF ALL-GIRLS NATIONAL CHAMPIONSHIPS (IL)2: UNDER 14,1831 =>1807,,
48,2024-04-12,2024 KCF ALL-GIRLS NATIONAL BLITZ (IL)1: BLITZ - 5 DOUBLE-ROUND G/5;D0,,,1324 (P19) =>1413
49,2024-04-07,2024 NATIONAL HIGH SCHOOL CHAMPIONSHIP (MD)1: K12 CHAMPIONSHIP,1843 =>1831,,
50,2024-03-31,16TH ANNUAL OPEN AT FOXWOODS (CT)3: UNDER 2000,1836 =>1843,,
51,2024-03-24,SUNDAY G-50 (NY)1: G50 OPEN,1827 =>1836,1629 =>1649,
