,End_event_date,Event_name,reg Rtg Before/After,Quick Rtg Before/After,Bliz Rtg Before/After
2,2025-01-05,13TH ANNUAL BOSTON CHESS CONGRESS (MA)2: UNDER 2100 SECTION,1705 =>1711,,
3,2024-12-18,YEAR END OPEN (MA)1: NOV DEC 2024 OPEN,1687 =>1705,,
4,2024-12-15,HARRY NELSON PILLSBURY MEMORIAL (MA)2: UNDER 2200,1678 =>1687,1184 =>1237,
5,2024-12-14,1ST NATHANAEL GREENE TOURNAMENT (RI)1: OPEN,1707 =>1678,1174 =>1184,
6,2024-12-01,5TH_BOSTON_ELITE_THANKSGIVING_FIDE_ (MA)2: U2000,1745 =>1707,,
7,2024-11-11,FALL FESTIVAL (MA)1: OPEN,1710 =>1745,,
8,2024-10-30,FALL CLASSIC (MA)1: OCT 2024 OPEN,1698 =>1710,,
9,2024-10-27,ORIGAMI OPEN (MA)1: WASHI (1700+USCF) FIDE RATED!,1689 =>1698,,
10,2024-10-20,13TH ANNUAL HARTFORD OPEN! (CT)2: UNDER 2100 SECTION,1665 =>1689,,
11,2024-10-02,STEVE MCDANIEL MEMORIAL (MA)1: SEPTEMBER-OCTOBER,1492 =>1665,,
12,2024-09-22,1ST SPIEGEL CUP QUALIFIER (MA)1: GRADES 6-8,1555 =>1492,1230 =>1174,
13,2024-09-02,83RD NEW ENGLAND OPEN (MA)3: UNDER 1800,1613 =>1555,,
14,2024-08-29,SUMMER SWISS (MA)1: JULY-AUGUST OPEN (3),1561 =>1613,,
15,2024-07-28,29TH ANNUAL BRADLEY OPEN! (CT)3: UNDER 1800 SECTION,1537 =>1561,,
16,2024-07-17,JIM SFOUGARIS MEMORIAL (MA)1: JUNE_JULY 2024 OPEN,1540 =>1537,,
17,2024-07-07,52ND ANNUAL WORLD OPEN (PA)2: UNDER 2200,1565 =>1540,,
18,2024-06-22,BCF BIG MONEY SWISS (MA)2: U1900,1596 =>1565,1249 =>1230,
19,2024-06-09,32ND ANNUAL EASTERN CLASS (CT)4: CLASS B,1641 =>1596,,
20,2024-05-29,2024 CLUB CHAMPIONSHIP (MA)1: SECTION1,1561 =>1641,,
21,2024-05-27,92ND MASSACHUSETTS OPEN (MA)7: EXTRA,1564 =>1561,,
22,2024-05-27,92ND MASSACHUSETTS OPEN (MA)2: UNDER 2100,1529 =>1564,,
23,2024-05-18,WHEELER G-15 RAPID CHESS FUNDRAISER (RI)1: OPEN,,1189 =>1249,
24,2024-04-14,4TH SPIEGEL CUP QUALIFIER (MA)2: GRADES K-5,1540 =>1529,1177 =>1189,
25,2024-03-31,16TH ANNUAL OPEN AT FOXWOODS (CT)3: UNDER 2000,1521 =>1540,,
26,2024-03-27,WINTER SWISS FEB-MARCH 2024 (MA)1: OOPEN,1458 =>1521,,
27,2024-03-03,3RD SPIEGEL CUP QUALIFIER (MA)2: GRADES K-5,1543 =>1458,1258 =>1177,
28,2024-02-24,10TH QUEEN CITY TORNADO (NH)2: UNDER 1800,1549 =>1543,1216 =>1258,
29,2024-02-17,NASHUA GRAND PRIX TORNADO (NH)2: UNDER 2025,1556 =>1549,1170 =>1216,
30,2024-02-07,INVITATIONAL-MEMORIAL (MA)2: MEMORIAL,1541 =>1556,,
31,2024-01-15,56TH ANNUAL LIBERTY BELL OPEN! (PA)4: UNDER 1700 SECTION,1481 =>1541,,
32,2024-01-07,12TH ANNUAL BOSTON CHESS CONGRESS! (MA)4: UNDER 1700 SECTION,1446 =>1481,,
33,2023-12-27,YEAR END OPEN 2023 (MA)1: YEAR END OPEN 2023,1354 =>1446,,
34,2023-12-17,2023 NATIONAL K-12 GRADE CHAMPIONSHIPS (FL)8: 5TH GRADE CHAMPIONSHIP,1369 =>1354,,
35,2023-11-26,4TH BOSTON ELITE THANKSGIVING FIDE (MA)3: SIDE GAMES,1367 =>1369,,
36,2023-11-26,4TH BOSTON ELITE THANKSGIVING FIDE (MA)2: U2000,1344 =>1367,,
37,2023-11-19,2ND SPIEGEL CUP QUALIFIER (MA)2: GRADES K-5,1379 =>1344,1213 =>1170,
38,2023-11-15,FALL CLASSIC (MA)1: OPEN,1365 =>1379,,
39,2023-11-12,2023 CONNECTICUT STATE CHAMPIONSHIP (CT)3: U1700,1273 =>1365,1082 =>1213,
40,2023-11-04,OCEAN STATE CHESS PREMIER OPEN CHAMPIONSHIP (RI)6: SIDE GAMES G/60,1272 =>1273,1081 =>1082,
41,2023-11-04,OCEAN STATE CHESS PREMIER OPEN CHAMPIONSHIP (RI)1: OPEN,1260 =>1272,1069 =>1081,
42,2023-10-28,2023 RI STATE CHESS CHAMPIONSHIP (RI)2: U1500,1251 =>1260,1046 =>1069,
43,2023-10-21,7TH CUMBERLAND FALL CHESS FEST (RI)1: OPEN SECTION,1239 =>1251,996 =>1046,
44,2023-10-08,12TH ANNUAL HARTFORD OPEN! (CT)4: UNDER 1500 SECTION,1296 =>1239,,
45,2023-09-27,9-11 MEMORIAL (MA)1: SEPT 2023 OPEN,1250 =>1296,,
46,2023-09-04,82ND NEW ENGLAND OPEN (MA)4: UNDER 1500,1281 =>1250,,
47,2023-08-30,AUGUST ATTACK 2023 (MA)1: AUG 2023 OPEN,1202 =>1281,,
48,2023-07-30,FMCA SCHOLASTICS #32 (MA)1: UNDER 1500,1244 =>1202,991 =>996,
49,2023-07-16,53RD ANNUAL CONTINENTAL OPEN! (MA)5: UNDER 1500 SECTION,1043 =>1244,,
50,2023-03-19,31ST EASTERN CLASS CHAMPIONSHIPS! (CT)8: EXTRA GAMES!,1047 =>1043,,
51,2023-03-19,31ST EASTERN CLASS CHAMPIONSHIPS! (CT)6: CLASS D,1074 =>1047,,
