,End_event_date,Event_name,reg Rtg Before/After,Quick Rtg Before/After,Bliz Rtg Before/After
2,2025-02-28,MARSHALL FIDE BLITZ (NY)1: MARSHALL FIDE BLITZ,,,1561** =>1557
3,2025-02-23,PACKER FEBRUARY 2025 TOURNAMENT (NY)2: OPEN CHAMPIONSHIP,1819 =>1896,1682 =>1770,
4,2025-02-17,MARSHALL PRESIDENTS DAY ACTION 2025 (NY)1: OPEN,1880 =>1819,1743 =>1682,
5,2025-02-15,MARSHALL SATURDAY G50 (NY)1: OPEN,1881 =>1880,1746 =>1743,
6,2025-02-09,SUPER SUNDAY - FIDE (NJ)1: FIDE,1855 =>1881,,
7,2025-02-07,HERMOVENEXT.COM | HER LEAGUE # 48 - GUPTA FAMILY (NY)1: GREEN TEAM,,ONL:1360 =>1374,
8,2025-02-02,SUNDAY G/50 OPEN & U1600 (NY)1: SUNDAY G50 OPEN,1865 =>1855,1757 =>1746,
9,2025-02-01,SATURDAY G/50 OPEN & U1800 (NY)1: SATURDAY G50 OPEN,1887 =>1865,1785 =>1757,
10,2025-01-26,PACKER JANUARY 2025 TOURNAMENT (NY)2: OPEN CHAMPIONSHIP,1873 =>1887,1771 =>1785,
11,2025-01-11,U2000 MORNING ACTION (NY)1: U2000 MA,1871 =>1873,1769 =>1771,
12,2025-01-11,"ICA G R QUADS AND OPEN JANUARY 11 (NJ)17: SECTION OPEN GLEN ROCK G/60,D5",1862 =>1871,1759 =>1769,
13,2025-01-10,MARSHALL WOMEN AND GIRLS (NY)1: MARSHALL WOMEN AND GIRLS,1859 =>1862,1755 =>1759,
14,2025-01-05,13TH ANNUAL BOSTON CHESS CONGRESS (MA)2: UNDER 2100 SECTION,1840 =>1859,,
15,2024-12-29,49TH ANNUAL EASTERN OPEN! (VA)7: EXTRA GAMES!,1853 =>1840,,
16,2024-12-29,49TH ANNUAL EASTERN OPEN! (VA)2: UNDER 2200 SECTION,1888 =>1853,,
17,2024-12-22,MONTHLY DECEMBER (NY)1: MONTHLY U2400 DECEMBER,1885 =>1888,,
18,2024-12-15,SUPER SUNDAY - FIDE (NJ)1: FIDE,1859 =>1885,,
19,2024-12-14,"ICA G R QUADS DECEMBER 14 (NJ)15: SECTION OPEN GLEN ROCK G/60,D5",1850 =>1859,1747 =>1755,
20,2024-12-13,HERMOVENEXT.COM | HER LEAGUE # 46 (NY)1: YELLOW TEAM,,ONL:1294 =>1360,
21,2024-12-08,2024 NATIONAL K-12 GRADE CHAMPIONSHIP (MD)10: 3RD GRADE CHAMPIONSHIP,1847 =>1850,,
22,2024-12-05,2024 K-12 BLITZ CHAMPIONSHIP (MD)2: K-6 BLITZ,,,1562 =>1561
23,2024-11-10,8TH NY STATE GIRLS CHAMPIONSHIP! (NY)3: K-3 CHAMPIONSHIP,1853 =>1847,,
24,2024-11-03,MARSHALL NOVEMBER FIDE U2000 (NY)1: MARSHALL NOVEMBER FIDE U2000,1837 =>1853,,
25,2024-10-14,3RD SKYLINE OPEN (VA)1: OPEN,1868 =>1837,,
26,2024-10-12,3RD SKYLINE OPEN (VA)5: OPEN-BLITZ,,,1582 =>1562
27,2024-10-06,PACKER OCTOBER CHESS TOURNAMENT (NY)2: OPEN CHAMPIONSHIP,1847 =>1868,1723 =>1747,
28,2024-10-06,OCTOBER MARSHALL PREMIER FIDE-U2000 (NY)1: MARSHALL PREMIER UNDER 2000,1879 =>1847,,
29,2024-09-28,MCC G50 OPEN (NY)1: SATURDAY G50,1872 =>1879,1711 =>1723,
30,2024-09-22,MARSHALL MONTHLY FIDE U2400 & U1800 (NY)1: MARSHALL UNDER 2400,1901 =>1872,,
31,2024-09-15,MARSHALL SUNDAY G/50 OPEN & U1600 (NY)1: G/50 OPEN,1896 =>1901,1704 =>1711,
32,2024-09-14,SATURDAY G/50 OPEN & U1800 (NY)1: G/50 OPEN,1882 =>1896,1673 =>1704,
33,2024-09-13,MARSHALL FIDE BLITZ 30 (NY)1: FIDE BLITZ,,,1484 =>1582
34,2024-09-08,SEP MARSHALL PREMIER FIDE - U2000 (NY)1: U2000,1888 =>1882,,
35,2024-09-01,SUNDAY G/50 OPEN & U1600 (NY)1: SUNDAY G50 OPEN,1902 =>1888,1678 =>1673,
36,2024-08-25,56TH ANNUAL ATLANTIC OPEN! (DC)2: UNDER 2100 SECTION,1904 =>1902,,
37,2024-08-18,54TH ANNUAL CONTINENTAL OPEN (MA)2: UNDER 2100,1884 =>1904,,
38,2024-08-17,10TH ANNUAL CONTINENTAL OPEN BLITZ (MA)1: OPEN,,,1498 =>1484
39,2024-08-10,SATURDAY G50 (NY)1: OPEN,1872 =>1884,1644 =>1678,
40,2024-08-02,HERMOVENEXT.COM | HER LEAGUE # 42 (NY)1: GREEN AND BLUE TEAM,,ONL:1280 =>1294,
41,2024-07-28,29TH ANNUAL BRADLEY OPEN! (CT)2: UNDER 2100 SECTION,1821 =>1872,,
42,2024-07-20,XXXIV PAN AMERICAN YOUTH CHAMPIONSHIPS (FL)12: U8 GIRLS,1808 =>1821,,
43,2024-07-18,2024 PANAMERICAN YOUTH BLITZ (FL)12: U8 GIRLS,,,1519 =>1498
44,2024-07-07,52ND ANNUAL WORLD OPEN (PA)3: UNDER 2000,1870 =>1808,,
45,2024-07-02,13TH WORLD OPEN WOMEN'S CHAMPIONSHI (PA)1: OPEN,1868 =>1870,,
46,2024-06-30,18TH PHILADELPHIA OPEN (PA)2: UNDER 2100,1824 =>1868,,
47,2024-06-23,MONTHLY FIDE U2400 (NY)1: MONTHLY FIDE U2400,1825 =>1824,,
48,2024-06-16,MARSHALL G-50 OPEN (NY)1: OPEN,1813 =>1825,1627 =>1644,
49,2024-06-14,MARSHALL FRIDAY FIDE BLITZ (NY)1: MARSHALL FRIDAY FIDE BLITZ,,,1507 =>1519
50,2024-06-12,MARSHALL WEEKLY FIDE UNDER 2200 (NY)1: SECTION1,1816 =>1813,,
51,2024-06-09,MARSHALL JUNE PREMIER UNDER 2000 (NY)1: SECTION1,1841 =>1816,,
