,End_event_date,Event_name,reg Rtg Before/After,Quick Rtg Before/After,Bliz Rtg Before/After
2,2025-02-05,REGGIE BOONE MEMORIAL (MA)1: OPEN,1730 =>1756,,
3,2025-01-26,BLACK DIAMOND PREMIER (MA)2: U2000,1775 =>1730,1531 =>1482,
4,2025-01-18,BIG MONEY SWISS (MA)1: OPEN,1783 =>1775,1528 =>1531,
5,2025-01-05,13TH ANNUAL BOSTON CHESS CONGRESS (MA)2: UNDER 2100 SECTION,1762 =>1783,,
6,2024-12-29,49TH ANNUAL EASTERN OPEN! (VA)3: UNDER 1900 SECTION,1798 =>1762,,
7,2024-12-18,EVERT SIISKONEN MEMORIAL (MA)1: PREMIER,1761 =>1798,,
8,2024-12-15,HARRY NELSON PILLSBURY MEMORIAL (MA)3: UNDER 2000,1714 =>1761,1422 =>1528,
9,2024-12-01,5TH_BOSTON_ELITE_THANKSGIVING_FIDE_ (MA)2: U2000,1695 =>1714,,
10,2024-11-23,1ST TANA OSCA STONEHILL OPEN (MA)1: OPEN CHAMPIONSHIP,1699 =>1695,1392 =>1422,
11,2024-11-13,ERNEST FANDREYER MEMORIAL (MA)1: PREMIER,1685 =>1699,,
12,2024-11-10,2024 CONNECTICUT STATE CHAMPIONSHIP (CT)2: U2200,1696 =>1685,1384 =>1392,
13,2024-10-20,13TH ANNUAL HARTFORD OPEN! (CT)3: UNDER 1800 SECTION,1715 =>1696,,
14,2024-10-19,9TH ANNUAL HARTFORD OPEN BLITZ! (CT)1: PRIZES RAISED 15%,,,1356 =>1492
15,2024-10-16,WACHUSETT CLUB CHAMPIONSHIP (MA)2: OPEN,1609 =>1715,,
16,2024-10-13,89TH GREATER BOSTON OPEN (MA)3: U2000,1614 =>1609,1370 =>1384,
17,2024-10-12,WACHUSETT NATIONAL CHESS DAY SWISS (MA)1: RATED,,1379 =>1370,
18,2024-09-22,1ST SPIEGEL CUP QUALIFIER (MA)2: GRADES K-5,1609 =>1614,1373 =>1379,
19,2024-09-02,83RD NEW ENGLAND OPEN (MA)3: UNDER 1800,1619 =>1609,,
20,2024-08-28,ROCCO PASQUALE MEMORIAL (MA)1: OPEN,1593 =>1619,,
21,2024-08-18,54TH ANNUAL CONTINENTAL OPEN (MA)4: UNDER 1700,1569 =>1593,,
22,2024-08-11,JP CHESS 5DC FREE TOURNAMENT (MA)1: 1200 + & UP (RATED),,1338 =>1373,
23,2024-07-28,29TH ANNUAL BRADLEY OPEN! (CT)3: UNDER 1800 SECTION,1529 =>1569,,
24,2024-07-27,10TH(?!) BRADLEY OPEN BLITZ! (CT)1: 11:30 PM GUARANTEED!,,,1387 =>1356
25,2024-07-24,ROBERT FORTIER MEMORIAL (MA)2: U1600,1551 =>1529,,
26,2024-07-14,73RD NEW HAMPSHIRE OPEN (NH)2: UNDER 1800,1543 =>1551,,
27,2024-06-09,32ND ANNUAL EASTERN CLASS (CT)4: CLASS B,1535 =>1543,,
28,2024-06-08,10TH EASTERN CLASS BLITZ! (CT)1: REPORT AT 11,,,1364 =>1387
29,2024-05-27,92ND MASSACHUSETTS OPEN (MA)3: UNDER 1800,1520 =>1535,,
30,2024-05-26,MASSACHUSETTS BLITZ CHAMPIONSHIP (MA)1: BLITZ,,,1177 =>1364
31,2024-04-28,32ND MASSACHUSETTS G-60 CHAMPIONSHI (MA)5: U1600,1387 =>1520,1154 =>1338,
32,2024-04-14,4TH SPIEGEL CUP QUALIFIER (MA)2: GRADES K-5,1415 =>1387,1177 =>1154,
33,2024-04-10,GAIL S. LINGNER MEMORIAL (MA)1: OPEN,1344 =>1415,,
34,2024-04-07,1ST PENGUIN FESTIVAL (MA)2: MEGALLANIC (UNDER 1925),1344 =>1344,,
35,2024-03-06,GEORGE O-ROURKE MEMORIAL (MA)2: U1600,1357 =>1344,,
36,2024-03-03,3RD SPIEGEL CUP QUALIFIER (MA)2: GRADES K-5,1335 =>1357,1161 =>1177,
37,2024-02-03,126TH RHODE ISLAND OPEN (RI)3: U1500,1343 =>1335,1171 =>1161,
38,2024-01-21,GUS GOSSELIN GRADE CHAMPIONSHIP (MA)4: GRADE 4,1358 =>1343,1178 =>1171,
39,2024-01-07,12TH ANNUAL BOSTON CHESS CONGRESS! (MA)4: UNDER 1700 SECTION,1358 =>1358,,
40,2024-01-06,10TH ANNUAL BOSTON CONGRESS BLITZ! (MA)1: PRIZES RAISED 95%!,,,1143 =>1177
41,2023-12-29,48TH ANNUAL EASTERN OPEN! (VA)4: UNDER 1600 SECTION,1346 =>1358,,
42,2023-12-28,14TH ANNUAL EASTERN OPEN BLITZ! (VA)1: HAPPY HOLIDAYS!!,,,1116 (P18) =>1143
43,2023-12-10,HARRY NELSON PILLSBURY MEMORIAL (MA)6: EXTRA,1362 =>1346,1192 =>1178,
44,2023-12-10,HARRY NELSON PILLSBURY MEMORIAL (MA)3: U1800,1353 =>1362,1182 =>1192,
45,2023-12-06,DMVCHESS.COM DECEMBER SCHOLASTIC TOURNAMENT (VA)1: K-12,ONL:572 (P25) =>720,,
