,End_event_date,Event_name,reg Rtg Before/After,Quick Rtg Before/After,Bliz Rtg Before/After
2,2025-03-02,DFW FIDE ROYALE 2025 (TX)1: CHAMP MERGE,1646** =>1611,,
3,2025-02-17,16TH ANNUAL SOUTHWEST CLASS CHAMP (TX)4: CLASS B,1681 =>1646,,
4,2025-01-26,CCC FIDE CLASSICAL JAN 2025 (TX)4: EXTRA RATED,1704 =>1681,,
5,2025-01-26,CCC FIDE CLASSICAL JAN 2025 (TX)1: CHAMPM,1648 =>1704,,
6,2024-12-30,34TH NORTH AMERICAN OPEN (NV)5: UNDER 1700,1475 =>1648,,
7,2024-12-29,2024 NORTH AMERICAN BLITZ (NV)2: UNDER 2000,,,1563 =>1499
8,2024-12-21,DALLAS WINTER OPEN 2024 (TX)1: OPEN,1495 =>1475,,
9,2024-12-01,4TH ANNUAL FORESTER OPEN (TX)2: AMATEUR (U1800),1580 =>1495,,
10,2024-11-17,TEXAS WINTER FIDE 2024 (TX)1: CHAMP MERGE 111524,1578 =>1580,,
11,2024-10-27,CCC FIDE CLASSICAL OCT 25 (TX)1: CHAMPM,1607 =>1578,,
12,2024-09-29,CCC FIDE FALL CLASSICAL SEP 27 (TX)2: U1800,1556 =>1607,,
13,2024-09-08,FALL FIDE 2024 (TX)2: U1800 090624 MERGE,1530 =>1556,,
14,2024-08-24,PLANO SWISS AUGUST 24TH 2024 (TX)1: OPEN08242024,1555 =>1530,1422 =>1403,
15,2024-08-17,PLANO SATURDAY SWISS - AUGUST 17TH (TX)1: OPEN08172024,1540 =>1555,1380 =>1422,
16,2024-08-10,PLANO SWISS - AUGUST 10TH 2024 (TX)1: OPEN08102024,1541 =>1540,1374 =>1380,
17,2024-08-03,TEXAS SUMMER CHAMPIONSHIP 2024 (TX)2: TSC U1800 24,1525 =>1541,,
18,2024-07-21,7TH QUEEN CITY OF THE PRAIRIE OPEN & FORT WORTH CH (TX)2: INTERMEDIATE U1800,1588 =>1525,,
19,2024-07-07,52ND ANNUAL WORLD OPEN (PA)4: UNDER 1800,1450 =>1588,,
20,2024-06-23,"$150,000 UNIVERSAL OPEN (TX)5: 1400-1599",1459 =>1450,,
21,2024-06-15,DALLAS SUMMER OPEN 2024 (TX)2: SUMMER OPEN 2024 U1600,1496 =>1459,,
22,2024-06-09,3RD ANNUAL GOLDEN OPEN (TX)2: AMATEUR,1471 =>1496,,
23,2024-05-27,LUIS SALINAS 79TH ANNUAL TEXAS STATE AND AMATEUR (TX)2: AMATEUR,1462 =>1471,,
24,2024-05-18,PLANO SWISS 05182024 (TX)1: OPEN SECTION 05182024,1508 =>1462,1423 =>1374,
25,2024-05-05,FRISCO SWISS 05052024 (TX)1: OPEN SECTION 05052024,1520 =>1508,1442 =>1423,
26,2024-04-27,PLANO SWISS 042724 (TX)1: OPEN 042724,1527 =>1520,1458 =>1442,
27,2024-04-21,FRISCO SWISS 042124 (TX)1: CHAMP 042124,1503 =>1527,1447 =>1458,
28,2024-03-31,16TH ANNUAL OPEN AT FOXWOODS (CT)4: UNDER 1800,1587 =>1503,,
29,2024-03-23,BRYANT UNIVERSITY CHAMPIONSHIP (RI)2: U1600,1513 =>1587,1328 =>1447,
30,2024-03-16,3RD BROOKLINE BLITZ CHAMPIONSHIP (MA)2: U1600,,,1585 =>1563
31,2024-03-02,IRVING SWISS 030224 (TX)1: OPEN 030224,1519 =>1513,1316 =>1328,
32,2024-02-11,WINTER TEAM CHALLENGE (MA)1: U1800,1552 =>1519,1345 =>1316,
33,2024-02-03,126TH RHODE ISLAND OPEN (RI)2: U1900,1578 =>1552,1372 =>1345,
34,2024-01-27,JANUARY QUADS (MA)3: QUAD 3,1527 =>1578,,
35,2024-01-21,GUS GOSSELIN GRADE CHAMPIONSHIP (MA)4: GRADE 4,1553 =>1527,1397 =>1372,
