,End_event_date,Event_name,reg Rtg Before/After,Quick Rtg Before/After,Bliz Rtg Before/After
1,2024-10-13,89TH GREATER BOSTON OPEN (MA)3: U2000,1592** =>1607,1356** =>1408,
2,2024-10-12,10TH MAX MALYUTA MEMORIAL ON NCD (RI)1: OPEN,1592** =>1636,1356** =>1435,
3,2024-09-27,FRIDAY NIGHT BBQ & BLITZ (MA)1: OPEN,,,1213 (P22) =>1349
4,2024-09-22,1ST SPIEGEL CUP QUALIFIER (MA)2: GRADES K-5,1575 =>1592,1305 =>1356,
5,2024-09-14,SEPTEMBER $15 OPEN (MA)2: UNDER,1586 =>1575,1283 =>1305,
6,2024-09-02,83RD NEW ENGLAND OPEN (MA)3: UNDER 1800,1594 =>1586,,
7,2024-08-18,54TH ANNUAL CONTINENTAL OPEN (MA)4: UNDER 1700,1582 =>1594,,
8,2024-07-14,73RD NEW HAMPSHIRE OPEN (NH)2: UNDER 1800,1603 =>1582,,
9,2024-06-09,32ND ANNUAL EASTERN CLASS (CT)4: CLASS B,1573 =>1603,,
10,2024-06-08,32ND ANNUAL EASTERN CLASS (CT)8: EXTRA RATED GAMES,1581 =>1573,,
11,2024-05-27,92ND MASSACHUSETTS OPEN (MA)3: UNDER 1800,1435 =>1581,,
12,2024-05-11,2ND LOU GIARRUSSO CENTENNIAL CUP (RI)2: U1600,1432 =>1435,1263 =>1283,
13,2024-05-04,2024 SENECA SPRING SWISS (RI)3: U1500,1420 =>1432,1235 =>1263,
14,2024-04-28,32ND MASSACHUSETTS G-60 CHAMPIONSHI (MA)5: U1600,1387 =>1420,1146 =>1235,
15,2024-03-31,16TH ANNUAL OPEN AT FOXWOODS (CT)6: UNDER 1400,1301 =>1387,,
16,2024-03-03,3RD SPIEGEL CUP QUALIFIER (MA)2: GRADES K-5,1285 =>1301,1139 =>1146,
17,2024-02-24,10TH QUEEN CITY TORNADO (NH)3: UNDER 1400,1292 =>1285,1130 =>1139,
18,2024-02-17,NASHUA GRAND PRIX TORNADO (NH)3: UNDER 1625,1234 =>1292,1036 =>1130,
19,2024-01-07,12TH ANNUAL BOSTON CHESS CONGRESS! (MA)6: UNDER 1200 SECTION,1070 =>1234,,
20,2023-11-19,2ND SPIEGEL CUP QUALIFIER (MA)4: U1200,1014 =>1070,994 =>1036,
21,2023-10-28,2023 RI STATE CHESS CHAMPIONSHIP (RI)3: U1200,997 =>1014,977 =>994,
22,2023-10-22,1ST BROOKLINE BLITZ CHAMPIONSHIP (MA)2: U1200,,,(Unrated) =>1213 (P22)
23,2023-10-08,CEK_OCT SCHOLASTICS (MA)2: U1000,915 =>997,892 =>977,
24,2023-07-30,FMCA SCHOLASTICS #32 (MA)2: UNDER 1000,900 =>915,861 =>892,
25,2023-07-22,OSCA PAPA GINO'S SUMMER SCHOLASTIC (RI)1: U1200,894 =>900,856 =>861,
26,2023-07-13,FUTURE MASTERS SUMMER RATED (MA)2: O700,947 (P24) =>894,910 (P24) =>856,
27,2023-03-05,3RD SPIEGEL CUP QUALIFIER (MA)3: GRADES K-3,943 (P21) =>947 (P24),919 (P21) =>910 (P24),
28,2023-02-26,FMCA SCHOLASTICS #27 (MA)2: UNDER 1000,934 (P17) =>943 (P21),914 (P17) =>919 (P21),
29,2023-01-16,FMCA SCHOLASTIC TOURNAMENT (MA)2: U1000 SECTION,646 (P13) =>934 (P17),636 (P13) =>914 (P17),
30,2022-12-11,FMCA SCHOLASTICS #26 (MA)3: UNDER 500,496 (P9) =>646 (P13),484 (P9) =>636 (P13),
31,2022-07-24,FMCA SCHOLASTICS #22 (MA)2: UNDER 500,(Unrated) =>496 (P9),(Unrated) =>484 (P9),
32,2022-01-23,NECS JANUARY CHALLENGE (MA)1: SECTION 1,ONL:(Unrated) =>636 (P5),,
