,End_event_date,Event_name,reg Rtg Before/After,Quick Rtg Before/After,Bliz Rtg Before/After
2,2025-03-01,MARCH QUADS (MA)4: QUAD 4,1951** =>1938,,
3,2025-02-15,ASHLAND QUAD 20250215 (MA)1: QUAD 1,1949 =>1951,1778 =>1787,
4,2025-02-02,UMASS WINTER BLITZ (MA)6: GROUP 6,,,1967 =>1946
5,2025-02-02,UMASS WINTER CLASSIC (MA)1: OPEN,1947 =>1949,,
6,2025-01-18,BIG MONEY SWISS (MA)1: OPEN,1944 =>1947,1771 =>1778,
7,2025-01-11,JANUARY QUADS (MA)3: QUAD 3,1935 =>1944,,
8,2025-01-01,HERB HEALY (MA)1: RATED,1942 =>1935,1787 =>1771,
9,2024-12-28,HOLIDAY FUNDRAISING 2024 (MA)4: SIDE GAME 1,1940 =>1942,1785 =>1787,
10,2024-12-28,HOLIDAY FUNDRAISING 2024 (MA)1: OPEN,1977 =>1940,1836 =>1785,
11,2024-12-20,BILLERICA CC JEFFREY CARUSO MEMORIA (MA)2: CHAMPIONSHIP,1931 =>1977,,
12,2024-11-29,FRIDAY NIGHT BLITZ AT NOCTURNE TEAS (FL)5: EXTRA GAME,,,1961 =>1967
13,2024-11-29,FRIDAY NIGHT BLITZ AT NOCTURNE TEAS (FL)4: BLITZ SIDE GAMES,,,1948 =>1961
14,2024-11-29,FRIDAY NIGHT BLITZ AT NOCTURNE TEAS (FL)3: BLITZ DOUBLE ROUND ROBIN,,,1926 =>1948
15,2024-11-29,FRIDAY NIGHT BLITZ AT NOCTURNE TEAS (FL)2: BLITZ WARMUP,,,1907 =>1926
16,2024-11-29,FRIDAY NIGHT BLITZ AT NOCTURNE TEAS (FL)1: QUICK WARMUP,,1831 =>1836,
17,2024-11-27,HUMP DAY BLITZ AT NOCTURNE TEAS (FL)2: EXTRA GAMES,,,1878 =>1907
18,2024-11-27,HUMP DAY BLITZ AT NOCTURNE TEAS (FL)1: MAIN EVENT,,,1787 =>1878
19,2024-11-02,NOVEMBER QUADS (MA)2: QUAD 2,1929 =>1931,,
20,2024-10-27,ORIGAMI OPEN (MA)1: WASHI (1700+USCF) FIDE RATED!,1965 =>1929,,
21,2024-10-25,BILLERICA CC OCTOBER 2024 (MA)1: OPEN,1955 =>1965,,
22,2024-09-27,FRIDAY NIGHT BBQ & BLITZ (MA)1: OPEN,,,1730 =>1787
23,2024-09-27,BILLERICA CC SEPTEMBER 2024 (MA)1: OPEN,1941 =>1955,,
24,2024-09-14,SEPTEMBER $15 OPEN (MA)1: OPEN,1931 =>1941,1829 =>1831,
25,2024-09-13,BIG MONEY BLITZ (MA)1: OPEN,,,1707 =>1730
26,2024-09-07,SEPTEMBER QUADS (MA)1: QUAD 1,1947 =>1931,,
27,2024-08-24,CCJ EXTRA QUAD G 60;D5 AUGUST 2024 (FL)2: QUAD 1,1938 =>1947,1822 =>1829,
28,2024-08-23,BILLERICA CC AUGUST 2024 (MA)1: OPEN,1936 =>1938,,
29,2024-08-10,TORNADO #142 (MA)1: OPEN,1937 =>1936,1832 =>1822,
30,2024-08-03,QUADS (MA)2: QUAD 2-3,1977 =>1937,,
31,2024-07-28,FUNDRAISER FOR THE BENEFIT OF THE A (MA)1: RATED,1990 =>1977,1849 =>1832,
32,2024-07-26,BILLERICA CC JULY 2024 (MA)1: OPEN,1976 =>1990,,
33,2024-07-10,CCC WEDNESDAY ACTION QUADS 91 (NC)3: QUAD C,1924 =>1976,1760 =>1849,
34,2024-07-07,JULY SUNDAY MORNING ACTION (MA)1: OPEN,1881 =>1924,1715 =>1760,
35,2024-07-06,JULY QUADS (REVISED) (MA)2: QUAD 2,1878 =>1881,,
36,2024-06-29,1ST CONCORD OPEN (NH)1: PREMIER (1700+ USCF),1832 =>1878,1672 =>1715,
37,2024-06-27,3|2 WALTHAM RATED BLITZ #99 (MA)1: OPEN,,,ONL:1980 =>1980
38,2024-06-22,BCF BIG MONEY SWISS (MA)1: OPEN,1824 =>1832,1678 =>1672,
39,2024-06-16,5|2 WALTHAM RATED BLITZ #95 (MA)1: OPEN,,,ONL:1987 =>1980
40,2024-06-09,5|2 WALTHAM RATED BLITZ #91 (MA)1: OPEN,,,ONL:1973 =>1987
41,2024-06-06,10|1 FIRST THURSDAY #31 (MA)1: OPEN,,ONL:1749 =>1768,
42,2024-06-02,SUNDAY SEVEN (AL)1: BLITZ,,,ONL:1978 =>1973
43,2024-06-01,53RD NESSP SCHOLASTIC CHESS TOURNAM (MA)5: EXTRA RATED BLITZ,,,1649 =>1707
44,2024-06-01,53RD NESSP SCHOLASTIC CHESS TOURNAM (MA)1: ADVANCED,1831 =>1824,1692 =>1678,
45,2024-05-30,JACKALOPE TEN-THREE #75 (CO)1: QUICK,,ONL:1750 =>1749,
46,2024-05-29,US CHESS BLITZ ON CHESS.COM (CA)1: 1,,,ONL:1947 =>1978
47,2024-05-27,92ND MASSACHUSETTS OPEN (MA)2: UNDER 2100,1859 =>1831,,
48,2024-05-26,MASSACHUSETTS BLITZ CHAMPIONSHIP (MA)1: BLITZ,,,1647 =>1649
49,2024-05-19,SUNDAY SEVEN (CO)1: BLITZ,,,ONL:1942 =>1947
50,2024-05-18,US CHESS BLITZ OPEN  ON CHESS.COM (CA)1: 1,,,ONL:1941 =>1942
51,2024-05-16,JACKALOPE TEN-THREE #74 (CO)1: QUICK,,ONL:1743 =>1750,
