,End_event_date,Event_name,reg Rtg Before/After,Quick Rtg Before/After,Bliz Rtg Before/After
2,2024-05-27,92ND MASSACHUSETTS OPEN (MA)3: UNDER 1800,1501 =>1510,,
3,2024-04-28,32ND MASSACHUSETTS G-60 CHAMPIONSHI (MA)4: U1800,1435 =>1501,1285 =>1362,
4,2024-04-14,4TH SPIEGEL CUP QUALIFIER (MA)2: GRADES K-5,1485 =>1435,1341 =>1285,
5,2024-03-23,BRYANT UNIVERSITY CHAMPIONSHIP (RI)2: U1600,1407 =>1485,1264 =>1341,
6,2024-03-03,3RD SPIEGEL CUP QUALIFIER (MA)2: GRADES K-5,1433 =>1407,1289 =>1264,
7,2024-02-24,10TH QUEEN CITY TORNADO (NH)2: UNDER 1800,1369 =>1433,1240 =>1289,
8,2024-01-07,12TH ANNUAL BOSTON CHESS CONGRESS! (MA)4: UNDER 1700 SECTION,1391 =>1369,,
9,2023-12-16,1ST RAR OPEN (NH)2: UNDER 2025,1410 =>1391,1243 =>1240,
10,2023-12-10,HARRY NELSON PILLSBURY MEMORIAL (MA)3: U1800,1264 =>1410,1062 =>1243,
11,2023-11-19,2ND SPIEGEL CUP QUALIFIER (MA)2: GRADES K-5,1249 =>1264,1050 =>1062,
12,2023-10-15,88TH GREATER BOSTON OPEN (MA)4: U1800,1262 =>1249,1070 =>1050,
13,2023-10-01,1ST SPIEGEL CUP QUALIFER (MA)2: GRADES K-5,1278 =>1262,1091 =>1070,
14,2023-09-17,JUNIOR OPEN (MA)1: CHAMPIONSHIP,1297 =>1278,1111 =>1091,
15,2023-09-04,82ND NEW ENGLAND OPEN (MA)3: UNDER 1800,1361 =>1297,,
16,2023-08-05,HARRY LYMAN MEMORIAL (MA)4: SIDE GAMES,1363 =>1361,1112 =>1111,
17,2023-08-05,HARRY LYMAN MEMORIAL (MA)2: U2000,1400 =>1363,1149 =>1112,
18,2023-07-23,72ND NEW HAMPSHIRE OPEN (NH)3: UNDER 1750,1332 =>1400,,
19,2023-05-29,91ST MASSACHUSETTS OPEN (MA)3: UNDER 1800,1315 =>1332,,
20,2023-05-20,BARRY S. SPIEGEL CUP (MA)4: PRIMARY SCHOOL,1379 =>1315,1202 =>1149,
21,2023-04-30,31ST MASSACHUSETTS G/60 CHAMPIONSHIP (MA)4: U1800,1403 =>1379,1208 =>1202,
22,2023-04-02,4TH SPIEGEL CUP QUALIFIER (MA)3: GRADES  K-3,1394 =>1403,1188 =>1208,
