,End_event_date,Event_name,reg Rtg Before/After,Quick Rtg Before/After,Bliz Rtg Before/After
2,2024-05-31,DCC THURSDAYS MAY 2024 (CINCO DE MA (CO)2: U1600 AND UNRATED,1233 =>1205,,
3,2024-04-30,DCC APRIL TUESDAYS 2024 (DCC CHAMPI (CO)2: U1900,1246 =>1233,,
4,2024-04-28,2024 COLORADO CLASS CHAMPIONSHIPS (CO)4: CLASS C (1400 - 1599) & CLASS,1228 =>1246,,
5,2024-04-25,DCC THURSDAYS APRIL 2024 (CO)2: U1600 AND UNRATED,1204 =>1228,,
6,2024-04-07,DCC SPRING CLASSIC 2024 (CO)3: U1600,1235 =>1204,,
7,2024-03-29,DCC THURSDAYS MARCH 2024 (LUCKY!) (CO)2: U1600 AND UNRATED,1234 =>1235,,
8,2024-03-26,DCC MARCH TUESDAYS 2024 (CO)2: U1900,1194 =>1234,,
9,2024-02-29,DCC THURSDAYS FEBRUARY 2024 (LEAP Y (CO)2: U1600 AND UNRATED,1244 =>1194,,
10,2024-02-27,DCC FEBRUARY TUESDAYS 2024 (CO)2: U1900,1268 =>1244,,
11,2024-02-19,2024 CHESSKID NATIONAL FESTIVAL (NC)3: K-5 CHAMPIONSHIP,1216 =>1268,1062 =>1166,
12,2024-02-10,SUMMIT SCHOOL OF CHESS FEBRUARY 202 (CO)1: OPEN,1258 =>1216,1108 =>1062,
13,2024-02-04,2024 SCHOLASTIC STATE CHAMPIONSHIPS (CO)3: K-5,1328 =>1258,,
14,2024-01-30,DCC JANUARY TUESDAYS 2024 (CO)2: U1900,1226 =>1328,,
15,2024-01-25,DCC THURSDAYS JANUARY 2024 (HAPPY N (CO)2: U1600 AND UNRATED,1236 =>1226,,
16,2024-01-20,PALS CHESS JANUARY HAPPY NEW YEAR! (CO)2: OPEN,1216 =>1236,1104 =>1108,
17,2024-01-14,DCC TRIBUTE TO MLK 2024 (CO)6: EXTRA GAMES,1210 =>1216,,
18,2024-01-14,DCC TRIBUTE TO MLK 2024 (CO)3: U1600,1216 =>1210,,
19,2023-12-28,DCC THURSDAYS DECEMBER 2023 (CO)2: U1600 AND UNRATED,1235 =>1216,,
