,End_event_date,Event_name,reg Rtg Before/After,Quick Rtg Before/After,Bliz Rtg Before/After
2,2025-03-01,11TH QUEEN CITY TORNADO (NH)1: OPEN,1770** =>1752,1565** =>1546,
3,2025-02-25,FEBRUARY TUESDAY SWISS (MA)2: U1910,1768 =>1770,,
4,2025-02-25,FEBRUARY TUESDAY SWISS (MA)1: OPEN,1693 =>1768,,
5,2025-02-23,MASSACHUSETTS K-12 GIRLS QUALIFIER (MA)1: OPEN,1726 =>1693,1607 =>1565,
6,2025-02-15,CHESS FOR CHARITY CHAMPIONSHIP (RI)1: OPEN,1654 =>1726,1554 =>1607,
7,2025-02-07,BIG MONEY BLITZ (MA)1: OPEN,,,1690 =>1610
8,2025-02-02,UMASS WINTER CLASSIC (MA)4: EXTRA,1651 =>1654,,
9,2025-02-02,UMASS WINTER CLASSIC (MA)1: OPEN,1698 =>1651,,
10,2025-01-28,JANUARY TUESDAY SWISS (MA)2: U1910,1707 =>1698,,
11,2025-01-28,JANUARY TUESDAY SWISS (MA)1: OPEN,1705 =>1707,,
12,2025-01-26,BLACK DIAMOND PREMIER (MA)2: U2000,1691 =>1705,1552 =>1554,
13,2025-01-18,BIG MONEY SWISS (MA)1: OPEN,1692 =>1691,1555 =>1552,
14,2025-01-11,JANUARY QUADS (MA)4: QUAD 4,1675 =>1692,,
15,2025-01-10,BIG MONEY BLITZ (MA)1: OPEN,,,1606 =>1690
16,2025-01-05,13TH ANNUAL BOSTON CHESS CONGRESS (MA)3: UNDER 1900 SECTION,1671 =>1675,,
17,2025-01-01,HERB HEALY (MA)1: RATED,1674 =>1671,1561 =>1555,
18,2024-12-29,49TH ANNUAL EASTERN OPEN! (VA)3: UNDER 1900 SECTION,1680 =>1674,,
19,2024-12-23,2024 NORTH AMERICAN YOUTH (VA)8: U12-GIRLS,1722 =>1680,,
20,2024-12-18,MCC - 2024-12 (MA)1: OPEN,1729 =>1722,,
21,2024-12-15,HARRY NELSON PILLSBURY MEMORIAL (MA)3: UNDER 2000,1780 =>1729,1614 =>1561,
22,2024-12-07,DECEMBER QUADS (MA)3: QUAD 3,1785 =>1780,,
23,2024-12-06,BIG MONEY BLITZ (MA)1: OPEN,,,1601 =>1606
24,2024-12-01,5TH_BOSTON_ELITE_THANKSGIVING_FIDE_ (MA)2: U2000,1801 =>1785,,
25,2024-11-27,MCC - 2024-11 (MA)1: OPEN,1799 =>1801,,
26,2024-11-23,1ST TANA OSCA STONEHILL OPEN (MA)1: OPEN CHAMPIONSHIP,1792 =>1799,1599 =>1614,
27,2024-11-17,$15 OPEN (MA)1: OPEN,1772 =>1792,1570 =>1599,
28,2024-11-16,2024 R.I. STATE CHAMPIONSHIP (RI)1: CHAMPIONSHIP,1751 =>1772,1496 =>1570,
29,2024-11-11,FALL FESTIVAL (MA)1: OPEN,1760 =>1751,,
30,2024-11-08,FALL FESTIVAL (MA)3: BLITZ,,,1565 =>1601
31,2024-11-02,2024 NEW HAMPSHIRE AMATEUR CHAMPION (NH)1: CHAMPIONSHIP,1748 =>1760,1447 =>1496,
32,2024-10-30,MCC - 2024-10 (MA)1: OPEN,1704 =>1748,,
33,2024-10-26,HALLOWEEN SWISS (MA)1: OPEN,1712 =>1704,1442 =>1447,
34,2024-10-20,13TH ANNUAL HARTFORD OPEN! (CT)2: UNDER 2100 SECTION,1676 =>1712,,
35,2024-10-13,89TH GREATER BOSTON OPEN (MA)3: U2000,1720 =>1676,1482 =>1442,
36,2024-10-05,OCTOBER QUADS (MA)3: QUAD 3,1742 =>1720,,
37,2024-10-04,BIG MONEY BLITZ (MA)1: OPEN,,,1499 =>1565
38,2024-09-29,BIG MONEY SWISS (MA)1: OPEN,1773 =>1742,1511 =>1482,
39,2024-09-27,FRIDAY NIGHT BBQ & BLITZ (MA)1: OPEN,,,1497 =>1499
40,2024-09-25,MCC - 2024-09 (MA)1: OPEN,1708 =>1773,,
41,2024-09-22,1ST SPIEGEL CUP QUALIFIER (MA)1: GRADES 6-8,1619 =>1708,1401 =>1511,
42,2024-09-14,SEPTEMBER $15 OPEN (MA)1: OPEN,1603 =>1619,1372 =>1401,
43,2024-09-13,BIG MONEY BLITZ (MA)2: U1900,,,1515 =>1497
44,2024-09-07,SEPTEMBER QUADS (MA)3: QUAD 3,1587 =>1603,,
45,2024-09-02,83RD NEW ENGLAND OPEN (MA)2: UNDER 2000,1617 =>1587,,
46,2024-08-28,MCC - 2024-08 (MA)1: OPEN,1645 =>1617,,
47,2024-08-24,AUGUST ATTACK (MA)1: OPEN,1658 =>1645,1384 =>1372,
48,2024-08-18,54TH ANNUAL CONTINENTAL OPEN (MA)3: UNDER 1900,1654 =>1658,,
49,2024-08-03,QUADS (MA)4: QUAD 4-3,1648 =>1654,,
50,2024-08-02,BIG MONEY BLITZ (MA)1: OPEN,,,1515 =>1515
51,2024-07-31,MCC - 2024-07 (MA)1: OPEN,1651 =>1648,,
