,End_event_date,Event_name,reg Rtg Before/After,Quick Rtg Before/After,Bliz Rtg Before/After
1,2024-04-28,2024 ELEMENTARY CHAMPIONSHIP (OH)2: K6 U1400,1296 =>1299,,
2,2024-03-03,3RD SPIEGEL CUP QUALIFIER (MA)2: GRADES K-5,1279 =>1296,1127 =>1139,
3,2024-02-11,WINTER TEAM CHALLENGE (MA)1: U1800,1254 =>1279,1097 (P25) =>1127,
4,2023-12-10,HARRY NELSON PILLSBURY MEMORIAL (MA)5: U1200,1291 =>1254,1129 (P23) =>1097 (P25),
5,2023-11-19,2ND SPIEGEL CUP QUALIFIER (MA)2: GRADES K-5,1079 (P25) =>1291,880 (P19) =>1129 (P23),
6,2023-10-01,1ST SPIEGEL CUP QUALIFER (MA)2: GRADES K-5,960 (P21) =>1079 (P25),726 (P15) =>880 (P19),
7,2023-09-17,JUNIOR OPEN (MA)3: U1000,778 (P17) =>960 (P21),314 (P11) =>726 (P15),
8,2023-05-14,2023 NATIONAL ELEMENTARY K-6 CHAMPIONSHIP (MD)3: K6 UNDER 1000,325 (P11) =>778 (P17),,
9,2022-05-21,LEXINGTON REC CHESS (MA)2: U1400,229 (P7) =>325 (P11),222 (P7) =>314 (P11),
10,2020-11-22,NECS NOVEMBER ONLINE (MA)1: SECTION 1,ONL:(Unrated) =>366 (P12),,
11,2019-12-15,MASSACHUSETTS SCHOLASTIC GRAND PRIX (MA)2: U600,155 (P4) =>229 (P7),152 (P4) =>222 (P7),
12,2019-05-27,MASS OPEN SCHOLASTIC (MA)4: K-6 U600,(Unrated) =>155 (P4),(Unrated) =>152 (P4),
