,End_event_date,Event_name,reg Rtg Before/After,Quick Rtg Before/After,Bliz Rtg Before/After
1,2024-12-29,49TH ANNUAL EASTERN OPEN! (VA)3: UNDER 1900 SECTION,1534 =>1555,,
2,2024-11-10,2024 CONNECTICUT STATE CHAMPIONSHIP (CT)2: U2200,1552 =>1534,1292 =>1268,
3,2024-10-20,13TH ANNUAL HARTFORD OPEN! (CT)2: UNDER 2100 SECTION,1465 =>1552,,
4,2024-09-21,2024 CONNECTICUT OPEN (CT)3: U1600,1498 =>1465,1306 =>1292,
5,2024-09-16,HCC SEPTEMBER ACTION QUADS (CT)2: QUAD 2,1493 =>1498,1276 =>1306,
6,2024-08-18,54TH ANNUAL CONTINENTAL OPEN (MA)4: UNDER 1700,1459 =>1493,,
7,2024-07-28,29TH ANNUAL BRADLEY OPEN! (CT)4: UNDER 1500 SECTION,1380 =>1459,,
8,2024-07-13,CSCA SUMMER CLASH!!! (CT)3: U1500,1299 =>1380,1160 =>1276,
9,2024-02-19,WORLD TEAM 2024 (NJ)1: WORLD AMATEUR TEAM 2024,1353 =>1299,,
10,2024-01-07,12TH ANNUAL BOSTON CHESS CONGRESS! (MA)5: UNDER 1500 SECTION,1305 =>1353,,
11,2023-11-20,HCC NOVEMBER ACTION QUADS (CT)3: QUAD 3,1370 =>1305,1222 =>1160,
12,2023-11-12,2023 CONNECTICUT STATE CHAMPIONSHIP (CT)3: U1700,1301 =>1370,1154 =>1222,
13,2023-10-16,HCC OCTOBER ACTION QUADS (CT)2: QUAD 2,1244 =>1301,1139 =>1154,
14,2023-10-08,12TH ANNUAL HARTFORD OPEN! (CT)4: UNDER 1500 SECTION,1281 =>1244,,
15,2023-09-18,HCC SEPTEMBER ACTION QUADS (CT)3: QUAD 3,1284 =>1281,1077 =>1139,
16,2023-09-04,82ND NEW ENGLAND OPEN (MA)5: UNDER 1200,1197 =>1284,,
17,2023-07-30,28TH BRADLEY OPEN (CT)5: UNDER 1200,1148 =>1197,,
18,2023-01-07,2023 CONNECTICUT SCHOLASTIC CHAMPIONSHIPS (CT)1: HIGH SCHOOL (9-12),1148 =>1148,1077 =>1077,
19,2022-12-17,HCC DECEMBER DISCOVERY G/45 QUADS (CT)3: QUAD 3,1116 =>1148,1046 =>1077,
20,2022-12-03,2022 CONNECTICUT STATE CHAMPIONSHIP (CT)3: U1400,1049 =>1116,996 =>1046,
21,2022-11-19,HCC NOVEMBER G/45 QUADS (CT)4: QUAD 4,1064 =>1049,1009 =>996,
22,2022-10-31,OCTOBER CLASSICAL CHESS CHALLENGE (NY)1: CHAMPIONSHIP,ONL:929 (P16) =>938 (P20),,
23,2022-10-29,HCC OCTOBER OPPOSITION G/45 QUADS (CT)4: QUAD 4,1051 =>1064,993 =>1009,
24,2022-09-24,HCC SEPTEMBER SHOWDOWN G/45 QUADS (CT)4: QUAD 4,997 =>1051,965 =>993,
25,2022-08-20,HCC AUGUST ACTION SCHOLASTIC (CT)1: QUAD/SECTION 1,1068 =>997,1035 =>965,
26,2022-07-30,HCC JULY JOUST (CT)5: QUAD 5/SECTION 5,1056 =>1068,1020 =>1035,
27,2022-07-23,HCC JULY JAMBOREE SCHOLASTIC (CT)2: QUAD2/SECTION 2,939 =>1056,918 =>1020,
28,2022-06-25,HCC JUNE ACTION (CT)2: U1500,888 =>939,890 =>918,
29,2022-06-18,HCC JUNE JOLT SCHOLASTIC (CT)1: OPEN (SCHOLASTIC K-12),886 (P23) =>888,889 =>890,
30,2022-05-21,PLANET EARTH 2022- OPEN (CT)2: U1600,891 (P18) =>886 (P23),921 (P24) =>889,
31,2022-05-14,HCC MAY MANEUVER SCHOLASTIC (CT)1: HCC MAY MANEUVER,778 (P14) =>891 (P18),835 (P20) =>921 (P24),
32,2021-06-06,SUMMER CHAMPIONSHIP I COMBINED SECTION (NY)1: COMBINED,ONL:960 (P12) =>929 (P16),,
33,2021-05-24,MAY 23 CHAMPIONSHIP (NY)3: K-9 CHAMPIONSHIP,ONL:(Unrated) =>960 (P12),,
34,2019-03-16,WEST HARTFORD SCHOLASTIC-NNGP LEG 3 (CT)2: K-12 U1200,474 (P9) =>778 (P14),601 (P15) =>835 (P20),
35,2018-06-09,2018 MUSICANT-YAZGOOR SCHOLASTIC (CT)1: RATED,327 (P5) =>474 (P9),569 (P11) =>601 (P15),
36,2018-03-31,TEAM STANDINGS:H&M (CT)2: K-6,,346 (P5) =>569 (P11),
37,2018-03-10,2018 WEST HARFORD SCHOLASTICS (CT)1: SIDE GAMES,(Unrated) =>327 (P5),(Unrated) =>346 (P5),
