,End_event_date,Event_name,reg Rtg Before/After,Quick Rtg Before/After,Bliz Rtg Before/After
2,2025-01-05,2025 AUSTIN WINTER OPEN (TX)2: RESERVE,1569 =>1616,,
3,2024-12-21,DALLAS WINTER OPEN 2024 (TX)1: OPEN,1607 =>1569,,
4,2024-12-01,4TH ANNUAL FORESTER OPEN - OPEN (TX)1: OPEN,1605 =>1607,,
5,2024-11-17,TEXAS WINTER FIDE 2024 (TX)2: U1800 MERGE 111524,1513 =>1605,,
6,2024-10-27,CCC FIDE CLASSICAL OCT 25 (TX)2: U1800M,1537 =>1513,,
7,2024-09-29,CCC FIDE FALL CLASSICAL SEP 27 (TX)2: U1800,1454 =>1537,,
8,2024-09-22,FRISCO SWISS 09/22/24 (TX)1: OPEN,1480 =>1454,1394 =>1366,
9,2024-09-21,PLANO SWISS - 9.21.2024 (TX)1: OPEN,1436 =>1480,1364 =>1394,
10,2024-09-15,FRISCO SWISS 09/15/24 (TX)1: OPEN,1455 =>1436,1392 =>1364,
11,2024-09-14,PLANO SWISS 09/14/24 (TX)1: OPEN,1448 =>1455,1388 =>1392,
12,2024-09-08,FALL FIDE 2024 (TX)2: U1800 090624 MERGE,1489 =>1448,,
13,2024-07-05,INDEPENDENCE SCHOLASTIC 2024 (TX)1: CHAMPIONSHIP (OPEN),1472 =>1489,1365 =>1388,
14,2024-06-30,2024 TEXAS FIDE OPEN (TX)2: RESERVE MERGE,1499 =>1472,,
15,2024-06-23,"$150,000 UNIVERSAL OPEN (TX)5: 1400-1599",1536 =>1499,,
16,2024-05-18,"PALS MAY 18TH, 2024 END OF SCHOOL Y (CO)2: OPEN",1467 =>1536,1255 =>1365,
17,2024-05-11,"KINGS OF CHESS MAY 11,2024 (CO)4: EXTRA GAMES",1441 =>1467,1210 =>1255,
18,2024-05-11,"KINGS OF CHESS MAY 11,2024 (CO)3: PREMIER DIVISION",1426 =>1441,1183 =>1210,
19,2024-04-28,2024 ELEMENTARY CHAMPIONSHIP (OH)8: K3 CHAMPIONSHIP,1478 =>1426,,
20,2024-04-25,2024 NATIONAL ELEMENTARY BLITZ CHAM (OH)2: K3 BLITZ CHAMPIONSHIP,,,1224 =>1221
21,2024-04-07,DCC SPRING CLASSIC 2024 (CO)2: U1800,1443 =>1478,,
22,2024-02-04,2024 SCHOLASTIC STATE CHAMPIONSHIPS (CO)4: K-3,1437 =>1443,,
23,2024-01-30,DCC JANUARY TUESDAYS 2024 (CO)2: U1900,1436 =>1437,,
24,2024-01-20,PALS CHESS JANUARY HAPPY NEW YEAR! (CO)2: OPEN,1465 =>1436,1185 =>1183,
25,2024-01-14,DCC TRIBUTE TO MLK 2024 (CO)2: U1800,1457 =>1465,,
26,2024-01-06,KINGS OF CHESS JANUARY 2024 (CO)4: PREMIER DIVISION,1497 =>1457,1215 =>1185,
27,2023-12-26,DCC DECEMBER TUESDAYS 2023 (CO)2: U1900,1351 =>1497,,
28,2023-12-16,PALS CHESSTRAVAGANZA 2023 DECEMBER (CO)2: OPEN,1289 =>1351,1139 =>1215,
29,2023-12-10,2023 DECEMBER FIDE CLASSIC (AZ)6: EXTRA GAMES,1280 =>1289,,
30,2023-12-10,2023 DECEMBER FIDE CLASSIC (AZ)5: BLITZ,,,1297 (P22) =>1224
31,2023-12-10,2023 DECEMBER FIDE CLASSIC (AZ)2: U2000,1318 =>1280,,
32,2023-09-03,2023 COLORADO OPEN (CO)2: U1900,1265 =>1318,,
33,2023-07-23,2023 DENVER OPEN (CO)3: U1800,1218 =>1265,,
34,2023-05-14,2023 NATIONAL ELEMENTARY K-6 CHAMPIONSHIP (MD)8: K3 CHAMPIONSHIP,1229 =>1218,,
35,2023-05-11,2023 NATIONAL ELEMENTARY BLITZ CHAMPIONSHIP (MD)2: K3 BLITZ CHAMPIONSHIP,,,(Unrated) =>1297 (P22)
36,2023-04-30,KINGS OF CHESS MAY 2023 (CO)3: K-12 DIVISION,1239 =>1229,1144 =>1139,
37,2023-04-29,DSCS #9 (CO)1: K-12 RATED,1236 =>1239,1137 =>1144,
38,2023-04-22,PALS MARCH CHESSTRAVAGANZA (CO)1: K-8 DIVISION,1145 =>1236,1039 =>1137,
39,2023-04-08,SSC #8 (CO)5: U1400,1164 =>1145,1066 =>1039,
40,2023-04-02,"KINGS OF CHESS APRIL 2, 2023 (CO)3: K-12 DIVISION",1146 =>1164,1063 =>1066,
41,2023-02-18,PALS FEBRUARY CHESSTRAVAGANZA (CO)1: K- 8 DIVISION,968 =>1146,929 =>1063,
