,End_event_date,Event_name,reg Rtg Before/After,Quick Rtg Before/After,Bliz Rtg Before/After
2,2024-09-02,146TH ANNUAL NY STATE CHAMPIONSHIP! (NY)1: CHAMPIONSHIP!,1993 =>1980,,
3,2024-08-18,2024 AUGUST MARSHALL MONTHLY U2400 (NY)1: MARSHALL UNDER 2400,1936 =>1993,,
4,2024-07-30,STATE CHAMPIONS (VA)2: BARBER MIDDLE SCHOOL CHAMPIONS,1972 =>1936,,
5,2024-07-27,WEERAMANTRY BLITZ (VA)2: 1800-2099,,,1585 =>1593
6,2024-06-27,DCC THURSDAYS JUNE DUNE 2024 (CO)1: 1600+ PREMIER,1945 =>1972,,
7,2024-06-25,DCC JUNE TUESDAYS 2024 (CO)1: PREMIER (1700+ OR UNRATED),1956 =>1945,,
8,2024-06-16,DENVER OPEN 2024 (CO)1: CHAMPIONSHIP,1952 =>1956,,
9,2024-05-12,2024 NATL MIDDLE SCHOOL CHAMPIONSHIP (GA)2: K-8 CHAMPIONSHIP,1920 =>1952,,
10,2024-05-09,2024 MIDDLE SCHOOL BLITZ CHAMPIONSHIP (GA)1: NATIONAL MIDDLE SCHOOL BLITZ,,,1513 =>1585
11,2024-04-28,2024 ELEMENTARY CHAMPIONSHIP (OH)1: K6 CHAMPIONSHIP,1888 =>1920,,
12,2024-04-25,2024 NATIONAL ELEMENTARY BLITZ CHAM (OH)1: K6 BLITZ CHAMPIONSHIP,,,1412 =>1513
13,2024-04-07,DCC SPRING CLASSIC 2024 (CO)1: CHAMPIONSHIP (+1600 USCF),1905 =>1888,,
14,2024-03-10,2024 COLORADO CLOSED CHAMPIONSHIPS (CO)3: 2024 COLORADO CLOSED SCHOLASTI,1893 =>1905,,
15,2024-02-29,DCC THURSDAYS FEBRUARY 2024 (LEAP Y (CO)1: 1600+ PREMIER,1886 =>1893,,
16,2024-02-04,2024 SCHOLASTIC STATE CHAMPIONSHIPS (CO)2: K-8,1873 =>1886,,
17,2024-01-25,DCC THURSDAYS JANUARY 2024 (HAPPY N (CO)1: 1600+ PREMIER,1848 =>1873,,
18,2024-01-20,PALS CHESS JANUARY HAPPY NEW YEAR! (CO)2: OPEN,1874 =>1848,1442 =>1421,
19,2024-01-14,DCC TRIBUTE TO MLK 2024 (CO)1: CHAMPIONSHIP (+1600 USCF),1807 =>1874,,
20,2023-12-17,2023 NATIONAL K-12 GRADE CHAMPIONSHIPS (FL)7: 6TH GRADE CHAMPIONSHIP,1833 =>1807,,
21,2023-12-14,2023 K-12 BLITZ CHAMPIONSHIP (FL)2: K-6 BLITZ,,,1394 =>1412
22,2023-12-02,SUMMIT SCHOOL OF CHESS #4 (CO)5: OPEN,1847 =>1833,1417 =>1442,
23,2023-11-30,DCC THURSDAYS NOVEMBER 2023 (CO)1: 1600+ PREMIER,1843 =>1847,,
24,2023-10-26,DCC THURSDAYS OCTOBER 2023 (CO)1: 1600+ PREMIER,1819 =>1843,,
25,2023-10-15,DCC FALL CLASSIC 2023 (CO)1: CHAMPIONSHIP (+1600 USCF),1798 =>1819,,
26,2023-10-08,SUMMIT SCHOOL OF CHESS #2 (CO)1: OPEN,1815 =>1798,1417 =>1417,
27,2023-09-28,DCC SEPTEMBER THURSDAYS 2023 (CO)1: 1600+ PREMIER,1737 =>1815,,
28,2023-09-23,SUMMIT SCHOOL OF CHESS #1 (CO)3: OPEN,1775 =>1737,1448 =>1417,
29,2023-09-01,2023 COLORADO STATE BLITZ CHAMPIONS (CO)1: OPEN,,,1303 =>1394
30,2023-08-31,DCC AUGUST THURSDAYS 2023 (CO)3: EXTRA GAMES,1775 =>1775,,
31,2023-08-31,DCC AUGUST THURSDAYS 2023 (CO)1: 1600+ PREMIER,1745 =>1775,,
32,2023-07-23,2023 DENVER OPEN (CO)4: U2200,1732 =>1745,,
33,2023-06-27,DCC JUNE TUESDAYS 2023 (CO)2: U1900,1752 =>1732,,
34,2023-05-21,DCC SPRING CLASSIC 2023 (CO)2: U1800,1651 =>1752,,
35,2023-05-14,2023 NATIONAL ELEMENTARY K-6 CHAMPIONSHIP (MD)5: K5 CHAMPIONSHIP,1663 =>1651,,
36,2023-05-11,2023 NATIONAL ELEMENTARY BLITZ CHAMPIONSHIP (MD)1: K-6 BLITZ CHAMPIONSHIP,,,1176 =>1303
37,2023-04-08,SSC #8 (CO)6: OPEN,1410 =>1663,1110 =>1448,
38,2023-03-11,2022-2023 SSC#7 (CO)6: OPEN,1441 =>1410,1117 =>1110,
39,2023-02-12,2023 SCHOLASTIC STATE CHAMPIONSHIPS (CO)2: K-8,1280 =>1441,,
40,2023-02-04,SSC #6 (CO)5: U1400,1279 =>1280,1091 =>1117,
41,2023-01-15,DCC TRIBUTE TO MLK 2023 (CO)4: U1400,1250 =>1279,,
42,2022-12-11,2022 NATIONAL K-12 GRADE CHAMPIONSHIP (MD)8: 5TH GRADE CHAMPIONSHIP,1241 =>1250,,
43,2022-12-08,2022 K-6 BLITZ CHAMPIONSHIP (MD)1: K-6 BLITZ,,,769 (P16) =>1176
44,2022-12-03,SSC #4 (CO)4: U1400,1267 =>1241,1105 =>1091,
45,2022-11-17,DCC NOVEMBER THUR SPECIAL 2022 - 2 (CO)1: OPEN,1174 =>1267,992 =>1105,
46,2022-11-05,SSC #3 (CO)5: U1400,1075 =>1174,798 =>992,
47,2022-10-27,DCC OCTOBER THURSDAYS 2022 (CO)3: U1500,1004 =>1075,,
48,2022-10-25,DCC OCTOBER TUESDAYS 2022 (CO)2: U1900,1009 =>1004,,
49,2022-10-16,DCC FALL CLASSIC 2022 (CO)4: U1600,909 =>1009,,
50,2022-10-01,SSC #2 (CO)4: U1400,834 =>909,606 (P21) =>798,
51,2022-09-22,DCC SEPTEMBER THURSDAYS 2022 (CO)3: U1500,645 (P24) =>834,,
